ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590183478526	 	3.3.1
USER	AceptarAnuncioTestPositivo	3	START	1590183480244	1590183480244
USER	AceptarAnuncioTestNegativo	52	START	1590183480218	1590183480218
USER	AceptarAnuncioTestPositivo	1	START	1590183480176	1590183480176
USER	AceptarAnuncioTestPositivo	2	START	1590183480205	1590183480205
USER	AceptarAnuncioTestNegativo	53	START	1590183480223	1590183480223
USER	AceptarAnuncioTestNegativo	54	START	1590183480277	1590183480277
USER	AceptarAnuncioTestPositivo	4	START	1590183480294	1590183480294
USER	AceptarAnuncioTestNegativo	55	START	1590183480299	1590183480299
REQUEST	4		Welcome	1590183480295	1590183480320	OK	 
REQUEST	3		Welcome	1590183480251	1590183480326	OK	 
REQUEST	54		Welcome	1590183480278	1590183480323	OK	 
REQUEST	1		Welcome	1590183480255	1590183480339	OK	 
REQUEST	2		Welcome	1590183480251	1590183480343	OK	 
REQUEST	53		Welcome	1590183480251	1590183480320	OK	 
REQUEST	55		Welcome	1590183480299	1590183480320	OK	 
USER	AceptarAnuncioTestNegativo	56	START	1590183480345	1590183480345
USER	AceptarAnuncioTestPositivo	5	START	1590183480345	1590183480345
REQUEST	56		Welcome	1590183480351	1590183480375	OK	 
REQUEST	52		Welcome	1590183480251	1590183480442	OK	 
USER	AceptarAnuncioTestNegativo	57	START	1590183480453	1590183480453
USER	AceptarAnuncioTestPositivo	6	START	1590183480458	1590183480458
USER	AceptarAnuncioTestNegativo	58	START	1590183480463	1590183480463
USER	AceptarAnuncioTestPositivo	7	START	1590183480467	1590183480467
USER	AceptarAnuncioTestNegativo	59	START	1590183480472	1590183480472
REQUEST	5		Welcome	1590183480350	1590183480480	OK	 
REQUEST	59		Welcome	1590183480473	1590183480481	OK	 
REQUEST	58		Welcome	1590183480464	1590183480488	OK	 
REQUEST	57		Welcome	1590183480454	1590183480495	OK	 
REQUEST	6		Welcome	1590183480460	1590183480499	OK	 
REQUEST	7		Welcome	1590183480468	1590183480509	OK	 
USER	AceptarAnuncioTestPositivo	8	START	1590183480514	1590183480514
USER	AceptarAnuncioTestNegativo	60	START	1590183480525	1590183480525
REQUEST	8		Welcome	1590183480515	1590183480529	OK	 
REQUEST	60		Welcome	1590183480526	1590183480534	OK	 
USER	AceptarAnuncioTestPositivo	9	START	1590183480540	1590183480540
USER	AceptarAnuncioTestNegativo	61	START	1590183480541	1590183480541
REQUEST	9		Welcome	1590183480541	1590183480551	OK	 
REQUEST	61		Welcome	1590183480546	1590183480553	OK	 
USER	AceptarAnuncioTestNegativo	62	START	1590183480574	1590183480574
USER	AceptarAnuncioTestPositivo	10	START	1590183480574	1590183480574
REQUEST	62		Welcome	1590183480575	1590183480583	OK	 
REQUEST	10		Welcome	1590183480578	1590183480584	OK	 
USER	AceptarAnuncioTestNegativo	63	START	1590183480617	1590183480617
USER	AceptarAnuncioTestPositivo	11	START	1590183480617	1590183480617
REQUEST	63		Welcome	1590183480618	1590183480623	OK	 
REQUEST	11		Welcome	1590183480618	1590183480623	OK	 
USER	AceptarAnuncioTestPositivo	12	START	1590183480656	1590183480656
USER	AceptarAnuncioTestNegativo	64	START	1590183480656	1590183480656
REQUEST	64		Welcome	1590183480656	1590183480665	OK	 
REQUEST	12		Welcome	1590183480656	1590183480673	OK	 
USER	AceptarAnuncioTestPositivo	13	START	1590183480700	1590183480700
USER	AceptarAnuncioTestNegativo	65	START	1590183480707	1590183480707
REQUEST	13		Welcome	1590183480701	1590183480715	OK	 
REQUEST	65		Welcome	1590183480709	1590183480717	OK	 
USER	AceptarAnuncioTestNegativo	66	START	1590183480735	1590183480735
USER	AceptarAnuncioTestPositivo	14	START	1590183480735	1590183480735
REQUEST	66		Welcome	1590183480735	1590183480741	OK	 
REQUEST	14		Welcome	1590183480735	1590183480741	OK	 
USER	AceptarAnuncioTestNegativo	67	START	1590183480784	1590183480784
USER	AceptarAnuncioTestPositivo	15	START	1590183480784	1590183480784
REQUEST	15		Welcome	1590183480789	1590183480795	OK	 
REQUEST	67		Welcome	1590183480785	1590183480795	OK	 
USER	AceptarAnuncioTestPositivo	16	START	1590183480822	1590183480822
USER	AceptarAnuncioTestNegativo	68	START	1590183480824	1590183480824
REQUEST	16		Welcome	1590183480824	1590183480837	OK	 
REQUEST	68		Welcome	1590183480827	1590183480856	OK	 
USER	AceptarAnuncioTestNegativo	69	START	1590183480860	1590183480860
USER	AceptarAnuncioTestPositivo	17	START	1590183480860	1590183480860
REQUEST	69		Welcome	1590183480861	1590183480881	OK	 
REQUEST	17		Welcome	1590183480866	1590183480884	OK	 
USER	AceptarAnuncioTestPositivo	18	START	1590183480898	1590183480898
USER	AceptarAnuncioTestNegativo	70	START	1590183480905	1590183480905
REQUEST	18		Welcome	1590183480899	1590183480910	OK	 
REQUEST	70		Welcome	1590183480906	1590183480915	OK	 
USER	AceptarAnuncioTestNegativo	71	START	1590183480940	1590183480940
USER	AceptarAnuncioTestPositivo	19	START	1590183480940	1590183480940
REQUEST	71		Welcome	1590183480941	1590183480951	OK	 
REQUEST	19		Welcome	1590183480943	1590183480953	OK	 
USER	AceptarAnuncioTestPositivo	20	START	1590183480974	1590183480974
USER	AceptarAnuncioTestNegativo	72	START	1590183480974	1590183480974
REQUEST	20		Welcome	1590183480975	1590183480981	OK	 
REQUEST	72		Welcome	1590183480975	1590183480981	OK	 
USER	AceptarAnuncioTestPositivo	21	START	1590183481014	1590183481014
USER	AceptarAnuncioTestNegativo	73	START	1590183481014	1590183481014
REQUEST	21		Welcome	1590183481015	1590183481024	OK	 
REQUEST	73		Welcome	1590183481016	1590183481025	OK	 
USER	AceptarAnuncioTestPositivo	22	START	1590183481062	1590183481062
USER	AceptarAnuncioTestNegativo	74	START	1590183481068	1590183481068
REQUEST	22		Welcome	1590183481063	1590183481077	OK	 
REQUEST	74		Welcome	1590183481070	1590183481079	OK	 
USER	AceptarAnuncioTestPositivo	23	START	1590183481111	1590183481111
USER	AceptarAnuncioTestNegativo	75	START	1590183481116	1590183481116
REQUEST	23		Welcome	1590183481112	1590183481124	OK	 
REQUEST	75		Welcome	1590183481118	1590183481125	OK	 
USER	AceptarAnuncioTestPositivo	24	START	1590183481146	1590183481146
USER	AceptarAnuncioTestNegativo	76	START	1590183481151	1590183481151
REQUEST	24		Welcome	1590183481147	1590183481160	OK	 
REQUEST	76		Welcome	1590183481152	1590183481165	OK	 
USER	AceptarAnuncioTestPositivo	25	START	1590183481176	1590183481176
USER	AceptarAnuncioTestNegativo	77	START	1590183481183	1590183481183
REQUEST	25		Welcome	1590183481176	1590183481191	OK	 
REQUEST	77		Welcome	1590183481183	1590183481195	OK	 
USER	AceptarAnuncioTestPositivo	26	START	1590183481218	1590183481218
USER	AceptarAnuncioTestNegativo	78	START	1590183481221	1590183481221
REQUEST	26		Welcome	1590183481219	1590183481228	OK	 
REQUEST	78		Welcome	1590183481221	1590183481230	OK	 
USER	AceptarAnuncioTestNegativo	79	START	1590183481268	1590183481268
USER	AceptarAnuncioTestPositivo	27	START	1590183481268	1590183481268
REQUEST	27		Welcome	1590183481269	1590183481275	OK	 
REQUEST	79		Welcome	1590183481269	1590183481275	OK	 
USER	AceptarAnuncioTestPositivo	28	START	1590183481301	1590183481301
USER	AceptarAnuncioTestNegativo	80	START	1590183481304	1590183481304
