ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590183771307	 	3.3.1
USER	AceptarAnuncioTestPositivo	3	START	1590183773255	1590183773255
USER	AceptarAnuncioTestNegativo	42	START	1590183773211	1590183773211
USER	AceptarAnuncioTestNegativo	44	START	1590183773260	1590183773260
USER	AceptarAnuncioTestNegativo	43	START	1590183773221	1590183773221
USER	AceptarAnuncioTestPositivo	2	START	1590183773217	1590183773217
USER	AceptarAnuncioTestPositivo	1	START	1590183773172	1590183773172
USER	AceptarAnuncioTestPositivo	4	START	1590183773305	1590183773305
USER	AceptarAnuncioTestNegativo	45	START	1590183773360	1590183773360
USER	AceptarAnuncioTestNegativo	46	START	1590183773407	1590183773407
USER	AceptarAnuncioTestPositivo	5	START	1590183773410	1590183773410
REQUEST	44		Welcome	1590183773279	1590183773354	OK	 
USER	AceptarAnuncioTestNegativo	47	START	1590183773458	1590183773458
USER	AceptarAnuncioTestPositivo	6	START	1590183773460	1590183773460
USER	AceptarAnuncioTestNegativo	48	START	1590183773488	1590183773488
REQUEST	1		Welcome	1590183773283	1590183773405	OK	 
REQUEST	3		Welcome	1590183773267	1590183773464	OK	 
REQUEST	2		Welcome	1590183773284	1590183773463	OK	 
REQUEST	45		Welcome	1590183773363	1590183773487	OK	 
USER	AceptarAnuncioTestNegativo	49	START	1590183773526	1590183773526
USER	AceptarAnuncioTestPositivo	7	START	1590183773525	1590183773525
USER	AceptarAnuncioTestPositivo	8	START	1590183773558	1590183773558
REQUEST	47		Welcome	1590183773459	1590183773558	OK	 
REQUEST	46		Welcome	1590183773408	1590183773578	OK	 
REQUEST	48		Welcome	1590183773489	1590183773538	OK	 
USER	AceptarAnuncioTestNegativo	50	START	1590183773682	1590183773682
REQUEST	5		Welcome	1590183773413	1590183773694	OK	 
REQUEST	42		Welcome	1590183773277	1590183773700	OK	 
USER	AceptarAnuncioTestNegativo	52	START	1590183773687	1590183773687
USER	AceptarAnuncioTestPositivo	10	START	1590183773687	1590183773687
USER	AceptarAnuncioTestNegativo	51	START	1590183773686	1590183773686
USER	AceptarAnuncioTestNegativo	53	START	1590183773715	1590183773715
USER	AceptarAnuncioTestPositivo	9	START	1590183773684	1590183773684
REQUEST	4		Welcome	1590183773322	1590183773720	OK	 
REQUEST	6		Welcome	1590183773461	1590183773732	OK	 
USER	AceptarAnuncioTestPositivo	11	START	1590183773698	1590183773698
USER	AceptarAnuncioTestPositivo	12	START	1590183773745	1590183773745
REQUEST	7		Welcome	1590183773526	1590183773697	OK	 
USER	AceptarAnuncioTestNegativo	54	START	1590183773762	1590183773762
REQUEST	50		Welcome	1590183773684	1590183773780	OK	 
REQUEST	54		Welcome	1590183773764	1590183773792	OK	 
REQUEST	53		Welcome	1590183773717	1590183773806	OK	 
REQUEST	12		Welcome	1590183773746	1590183773816	OK	 
REQUEST	9		Welcome	1590183773685	1590183773828	OK	 
REQUEST	49		Welcome	1590183773527	1590183773837	OK	 
REQUEST	52		Welcome	1590183773702	1590183773846	OK	 
REQUEST	8		Welcome	1590183773559	1590183773856	OK	 
REQUEST	43		Welcome	1590183773280	1590183773888	OK	 
USER	AceptarAnuncioTestPositivo	13	START	1590183773904	1590183773904
USER	AceptarAnuncioTestNegativo	55	START	1590183773910	1590183773910
USER	AceptarAnuncioTestPositivo	14	START	1590183773921	1590183773921
USER	AceptarAnuncioTestNegativo	56	START	1590183773926	1590183773926
USER	AceptarAnuncioTestPositivo	15	START	1590183773931	1590183773931
USER	AceptarAnuncioTestNegativo	57	START	1590183773931	1590183773931
USER	AceptarAnuncioTestPositivo	16	START	1590183773942	1590183773942
REQUEST	51		Welcome	1590183773710	1590183773951	OK	 
REQUEST	10		Welcome	1590183773703	1590183773964	OK	 
REQUEST	11		Welcome	1590183773745	1590183773984	OK	 
REQUEST	16		Welcome	1590183773943	1590183773975	OK	 
REQUEST	15		Welcome	1590183773932	1590183773987	OK	 
REQUEST	13		Welcome	1590183773905	1590183773987	OK	 
REQUEST	14		Welcome	1590183773923	1590183773984	OK	 
USER	AceptarAnuncioTestNegativo	58	START	1590183774003	1590183774003
USER	AceptarAnuncioTestPositivo	17	START	1590183774006	1590183774006
REQUEST	56		Welcome	1590183773927	1590183773991	OK	 
REQUEST	55		Welcome	1590183773911	1590183773992	OK	 
REQUEST	57		Welcome	1590183773936	1590183773988	OK	 
USER	AceptarAnuncioTestNegativo	59	START	1590183774063	1590183774063
REQUEST	58		Welcome	1590183774004	1590183774068	OK	 
USER	AceptarAnuncioTestNegativo	60	START	1590183774071	1590183774071
USER	AceptarAnuncioTestPositivo	18	START	1590183774071	1590183774071
REQUEST	17		Welcome	1590183774009	1590183774079	OK	 
REQUEST	59		Welcome	1590183774064	1590183774079	OK	 
REQUEST	18		Welcome	1590183774074	1590183774086	OK	 
REQUEST	60		Welcome	1590183774071	1590183774087	OK	 
USER	AceptarAnuncioTestPositivo	19	START	1590183774117	1590183774117
USER	AceptarAnuncioTestNegativo	61	START	1590183774123	1590183774123
REQUEST	19		Welcome	1590183774118	1590183774131	OK	 
REQUEST	61		Welcome	1590183774124	1590183774134	OK	 
USER	AceptarAnuncioTestPositivo	20	START	1590183774141	1590183774141
REQUEST	20		Welcome	1590183774142	1590183774153	OK	 
USER	AceptarAnuncioTestNegativo	62	START	1590183774175	1590183774175
REQUEST	62		Welcome	1590183774176	1590183774184	OK	 
USER	AceptarAnuncioTestPositivo	21	START	1590183774197	1590183774197
REQUEST	21		Welcome	1590183774198	1590183774206	OK	 
USER	AceptarAnuncioTestNegativo	63	START	1590183774214	1590183774214
REQUEST	63		Welcome	1590183774215	1590183774222	OK	 
USER	AceptarAnuncioTestPositivo	22	START	1590183774243	1590183774243
REQUEST	22		Welcome	1590183774243	1590183774248	OK	 
USER	AceptarAnuncioTestNegativo	64	START	1590183774262	1590183774262
REQUEST	64		Welcome	1590183774263	1590183774266	OK	 
USER	AceptarAnuncioTestPositivo	23	START	1590183774299	1590183774299
REQUEST	23		Welcome	1590183774300	1590183774305	OK	 
USER	AceptarAnuncioTestNegativo	65	START	1590183774319	1590183774319
REQUEST	65		Welcome	1590183774320	1590183774325	OK	 
USER	AceptarAnuncioTestPositivo	24	START	1590183774340	1590183774340
REQUEST	24		Welcome	1590183774341	1590183774346	OK	 
USER	AceptarAnuncioTestNegativo	66	START	1590183774361	1590183774361
REQUEST	66		Welcome	1590183774362	1590183774368	OK	 
USER	AceptarAnuncioTestPositivo	25	START	1590183774399	1590183774399
REQUEST	25		Welcome	1590183774400	1590183774404	OK	 
USER	AceptarAnuncioTestNegativo	67	START	1590183774416	1590183774416
REQUEST	67		Welcome	1590183774417	1590183774421	OK	 
USER	AceptarAnuncioTestPositivo	26	START	1590183774439	1590183774439
REQUEST	26		Welcome	1590183774440	1590183774445	OK	 
USER	AceptarAnuncioTestNegativo	68	START	1590183774459	1590183774459
REQUEST	68		Welcome	1590183774460	1590183774466	OK	 
USER	AceptarAnuncioTestPositivo	27	START	1590183774493	1590183774493
REQUEST	27		Welcome	1590183774494	1590183774499	OK	 
USER	AceptarAnuncioTestNegativo	69	START	1590183774514	1590183774514
REQUEST	69		Welcome	1590183774516	1590183774526	OK	 
USER	AceptarAnuncioTestPositivo	28	START	1590183774539	1590183774539
REQUEST	28		Welcome	1590183774540	1590183774550	OK	 
USER	AceptarAnuncioTestNegativo	70	START	1590183774564	1590183774564
REQUEST	70		Welcome	1590183774567	1590183774587	OK	 
USER	AceptarAnuncioTestPositivo	29	START	1590183774594	1590183774594
REQUEST	29		Welcome	1590183774595	1590183774604	OK	 
USER	AceptarAnuncioTestNegativo	71	START	1590183774624	1590183774624
REQUEST	71		Welcome	1590183774627	1590183774632	OK	 
USER	AceptarAnuncioTestPositivo	30	START	1590183774653	1590183774653
REQUEST	30		Welcome	1590183774654	1590183774658	OK	 
USER	AceptarAnuncioTestNegativo	72	START	1590183774673	1590183774673
REQUEST	72		Welcome	1590183774674	1590183774679	OK	 
USER	AceptarAnuncioTestPositivo	31	START	1590183774693	1590183774693
REQUEST	31		Welcome	1590183774694	1590183774701	OK	 
USER	AceptarAnuncioTestNegativo	73	START	1590183774713	1590183774713
REQUEST	73		Welcome	1590183774713	1590183774720	OK	 
USER	AceptarAnuncioTestPositivo	32	START	1590183774748	1590183774748
REQUEST	32		Welcome	1590183774749	1590183774754	OK	 
USER	AceptarAnuncioTestNegativo	74	START	1590183774770	1590183774770
REQUEST	74		Welcome	1590183774771	1590183774776	OK	 
USER	AceptarAnuncioTestPositivo	33	START	1590183774789	1590183774789
REQUEST	33		Welcome	1590183774789	1590183774794	OK	 
USER	AceptarAnuncioTestNegativo	75	START	1590183774809	1590183774809
REQUEST	75		Welcome	1590183774810	1590183774818	OK	 
USER	AceptarAnuncioTestPositivo	34	START	1590183774848	1590183774848
REQUEST	34		Welcome	1590183774849	1590183774859	OK	 
USER	AceptarAnuncioTestNegativo	76	START	1590183774870	1590183774870
REQUEST	76		Welcome	1590183774871	1590183774879	OK	 
USER	AceptarAnuncioTestPositivo	35	START	1590183774891	1590183774891
REQUEST	35		Welcome	1590183774892	1590183774900	OK	 
USER	AceptarAnuncioTestNegativo	77	START	1590183774913	1590183774913
REQUEST	77		Welcome	1590183774914	1590183774923	OK	 
USER	AceptarAnuncioTestPositivo	36	START	1590183774939	1590183774939
REQUEST	36		Welcome	1590183774940	1590183774945	OK	 
USER	AceptarAnuncioTestNegativo	78	START	1590183774959	1590183774959
REQUEST	78		Welcome	1590183774959	1590183774964	OK	 
USER	AceptarAnuncioTestPositivo	37	START	1590183774994	1590183774994
REQUEST	37		Welcome	1590183774995	1590183775001	OK	 
USER	AceptarAnuncioTestNegativo	79	START	1590183775014	1590183775014
REQUEST	79		Welcome	1590183775016	1590183775022	OK	 
USER	AceptarAnuncioTestPositivo	38	START	1590183775049	1590183775049
REQUEST	38		Welcome	1590183775050	1590183775057	OK	 
USER	AceptarAnuncioTestNegativo	80	START	1590183775072	1590183775072
REQUEST	80		Welcome	1590183775073	1590183775079	OK	 
USER	AceptarAnuncioTestPositivo	39	START	1590183775094	1590183775094
REQUEST	39		Welcome	1590183775095	1590183775101	OK	 
USER	AceptarAnuncioTestNegativo	81	START	1590183775111	1590183775111
REQUEST	81		Welcome	1590183775112	1590183775120	OK	 
USER	AceptarAnuncioTestPositivo	40	START	1590183775139	1590183775139
REQUEST	40		Welcome	1590183775139	1590183775144	OK	 
USER	AceptarAnuncioTestNegativo	82	START	1590183775172	1590183775172
REQUEST	82		Welcome	1590183775173	1590183775181	OK	 
USER	AceptarAnuncioTestPositivo	41	START	1590183775192	1590183775192
USER	AceptarAnuncioTestPositivo	84	START	1590183775197	1590183775197
REQUEST	41		Welcome	1590183775192	1590183775203	OK	 
REQUEST	84		Welcome	1590183775198	1590183775205	OK	 
USER	AceptarAnuncioTestNegativo	83	START	1590183775217	1590183775217
REQUEST	83		Welcome	1590183775218	1590183775223	OK	 
USER	AceptarAnuncioTestPositivo	85	START	1590183775270	1590183775270
USER	AceptarAnuncioTestNegativo	105	START	1590183775270	1590183775270
REQUEST	85		Welcome	1590183775272	1590183775282	OK	 
REQUEST	105		Welcome	1590183775272	1590183775282	OK	 
USER	AceptarAnuncioTestNegativo	106	START	1590183775311	1590183775311
USER	AceptarAnuncioTestPositivo	86	START	1590183775311	1590183775311
REQUEST	86		Welcome	1590183775312	1590183775318	OK	 
REQUEST	106		Welcome	1590183775312	1590183775318	OK	 
USER	AceptarAnuncioTestPositivo	87	START	1590183775368	1590183775368
USER	AceptarAnuncioTestNegativo	107	START	1590183775368	1590183775368
REQUEST	87		Welcome	1590183775369	1590183775376	OK	 
REQUEST	107		Welcome	1590183775370	1590183775376	OK	 
USER	AceptarAnuncioTestNegativo	108	START	1590183775417	1590183775417
USER	AceptarAnuncioTestPositivo	88	START	1590183775417	1590183775417
REQUEST	108		Welcome	1590183775417	1590183775422	OK	 
REQUEST	88		Welcome	1590183775417	1590183775422	OK	 
USER	AceptarAnuncioTestNegativo	109	START	1590183775459	1590183775459
USER	AceptarAnuncioTestPositivo	89	START	1590183775459	1590183775459
REQUEST	89		Welcome	1590183775459	1590183775465	OK	 
REQUEST	109		Welcome	1590183775459	1590183775465	OK	 
USER	AceptarAnuncioTestNegativo	110	START	1590183775516	1590183775516
USER	AceptarAnuncioTestPositivo	90	START	1590183775516	1590183775516
REQUEST	110		Welcome	1590183775517	1590183775523	OK	 
REQUEST	90		Welcome	1590183775517	1590183775523	OK	 
USER	AceptarAnuncioTestPositivo	91	START	1590183775559	1590183775559
USER	AceptarAnuncioTestNegativo	111	START	1590183775559	1590183775559
REQUEST	111		Welcome	1590183775560	1590183775570	OK	 
REQUEST	91		Welcome	1590183775560	1590183775570	OK	 
USER	AceptarAnuncioTestPositivo	92	START	1590183775618	1590183775618
USER	AceptarAnuncioTestNegativo	112	START	1590183775618	1590183775618
REQUEST	112		Welcome	1590183775620	1590183775630	OK	 
REQUEST	92		Welcome	1590183775620	1590183775631	OK	 
USER	AceptarAnuncioTestPositivo	93	START	1590183775659	1590183775659
USER	AceptarAnuncioTestNegativo	113	START	1590183775659	1590183775659
REQUEST	113		Welcome	1590183775659	1590183775668	OK	 
REQUEST	93		Welcome	1590183775659	1590183775669	OK	 
USER	AceptarAnuncioTestNegativo	114	START	1590183775709	1590183775709
USER	AceptarAnuncioTestPositivo	94	START	1590183775709	1590183775709
REQUEST	94		Welcome	1590183775709	1590183775715	OK	 
REQUEST	114		Welcome	1590183775709	1590183775715	OK	 
USER	AceptarAnuncioTestPositivo	95	START	1590183775759	1590183775759
