RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590181513512	 	3.3.1
USER	AceptarAnuncioTestNegativo	2	START	1590181515111	1590181515111
USER	AceptarAnuncioTestPositivo	1	START	1590181515109	1590181515109
REQUEST	1		Welcome	1590181515153	1590181515247	OK	 
REQUEST	2		Welcome	1590181515153	1590181515240	OK	 
REQUEST	1		RightLogin	1590181524272	1590181524280	OK	 
REQUEST	2		WrongLogin	1590181524272	1590181524280	OK	 
REQUEST	2		WrongLogged	1590181543291	1590181543305	OK	 
REQUEST	1		RightLogged	1590181543291	1590181543305	OK	 
REQUEST	2		WrongLogged Redirect 1	1590181543317	1590181543360	OK	 
REQUEST	1		RightLogged Redirect 1	1590181543316	1590181543376	OK	 
REQUEST	1		MyAnuncios	1590181560374	1590181560444	OK	 
REQUEST	2		Forbidden	1590181560371	1590181560450	OK	 
USER	AceptarAnuncioTestNegativo	2	END	1590181515111	1590181571456
REQUEST	1		ShowAnuncio	1590181571450	1590181571497	OK	 
REQUEST	1		AnuncioAccepted	1590181579514	1590181579569	OK	 
USER	AceptarAnuncioTestPositivo	1	END	1590181515109	1590181589555
