ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590257138182	 	3.3.1
USER	AceptarLocalTestPositivo	1	START	1590257139370	1590257139370
USER	AceptarLocalTestNegativo	42	START	1590257139385	1590257139385
USER	AceptarLocalTestNegativo	43	START	1590257139418	1590257139418
USER	AceptarLocalTestPositivo	2	START	1590257139428	1590257139428
REQUEST	42		Welcome	1590257139413	1590257139440	OK	 
REQUEST	1		Welcome	1590257139413	1590257139440	OK	 
REQUEST	43		Welcome	1590257139422	1590257139440	OK	 
REQUEST	2		Welcome	1590257139428	1590257139440	OK	 
USER	AceptarLocalTestNegativo	44	START	1590257139459	1590257139459
REQUEST	44		Welcome	1590257139459	1590257139465	OK	 
USER	AceptarLocalTestPositivo	3	START	1590257139478	1590257139478
REQUEST	3		Welcome	1590257139478	1590257139484	OK	 
USER	AceptarLocalTestNegativo	45	START	1590257139508	1590257139508
REQUEST	45		Welcome	1590257139509	1590257139515	OK	 
USER	AceptarLocalTestPositivo	4	START	1590257139537	1590257139537
REQUEST	4		Welcome	1590257139538	1590257139542	OK	 
USER	AceptarLocalTestNegativo	46	START	1590257139568	1590257139568
REQUEST	46		Welcome	1590257139569	1590257139573	OK	 
USER	AceptarLocalTestPositivo	5	START	1590257139584	1590257139584
REQUEST	5		Welcome	1590257139584	1590257139590	OK	 
USER	AceptarLocalTestNegativo	47	START	1590257139615	1590257139615
REQUEST	47		Welcome	1590257139616	1590257139623	OK	 
USER	AceptarLocalTestPositivo	6	START	1590257139631	1590257139631
REQUEST	6		Welcome	1590257139632	1590257139638	OK	 
USER	AceptarLocalTestNegativo	48	START	1590257139662	1590257139662
REQUEST	48		Welcome	1590257139663	1590257139666	OK	 
USER	AceptarLocalTestPositivo	7	START	1590257139678	1590257139678
REQUEST	7		Welcome	1590257139678	1590257139683	OK	 
USER	AceptarLocalTestNegativo	49	START	1590257139709	1590257139709
REQUEST	49		Welcome	1590257139710	1590257139713	OK	 
USER	AceptarLocalTestPositivo	8	START	1590257139741	1590257139741
REQUEST	8		Welcome	1590257139741	1590257139746	OK	 
USER	AceptarLocalTestNegativo	50	START	1590257139759	1590257139759
REQUEST	50		Welcome	1590257139760	1590257139763	OK	 
USER	AceptarLocalTestPositivo	9	START	1590257139778	1590257139778
REQUEST	9		Welcome	1590257139778	1590257139783	OK	 
USER	AceptarLocalTestNegativo	51	START	1590257139808	1590257139808
REQUEST	51		Welcome	1590257139808	1590257139811	OK	 
USER	AceptarLocalTestPositivo	10	START	1590257139837	1590257139837
REQUEST	10		Welcome	1590257139838	1590257139842	OK	 
USER	AceptarLocalTestNegativo	52	START	1590257139858	1590257139858
REQUEST	52		Welcome	1590257139858	1590257139862	OK	 
USER	AceptarLocalTestPositivo	11	START	1590257139884	1590257139884
REQUEST	11		Welcome	1590257139885	1590257139890	OK	 
USER	AceptarLocalTestNegativo	53	START	1590257139916	1590257139916
REQUEST	53		Welcome	1590257139916	1590257139920	OK	 
USER	AceptarLocalTestPositivo	12	START	1590257139947	1590257139947
REQUEST	12		Welcome	1590257139947	1590257139951	OK	 
USER	AceptarLocalTestNegativo	54	START	1590257139964	1590257139964
REQUEST	54		Welcome	1590257139965	1590257139968	OK	 
USER	AceptarLocalTestPositivo	13	START	1590257139995	1590257139995
REQUEST	13		Welcome	1590257139996	1590257140001	OK	 
USER	AceptarLocalTestNegativo	55	START	1590257140011	1590257140011
REQUEST	55		Welcome	1590257140012	1590257140015	OK	 
USER	AceptarLocalTestPositivo	14	START	1590257140028	1590257140028
REQUEST	14		Welcome	1590257140028	1590257140033	OK	 
USER	AceptarLocalTestNegativo	56	START	1590257140058	1590257140058
REQUEST	56		Welcome	1590257140059	1590257140062	OK	 
USER	AceptarLocalTestPositivo	15	START	1590257140089	1590257140089
REQUEST	15		Welcome	1590257140089	1590257140096	OK	 
USER	AceptarLocalTestNegativo	57	START	1590257140113	1590257140113
REQUEST	57		Welcome	1590257140114	1590257140117	OK	 
USER	AceptarLocalTestPositivo	16	START	1590257140129	1590257140129
REQUEST	16		Welcome	1590257140129	1590257140133	OK	 
USER	AceptarLocalTestNegativo	58	START	1590257140160	1590257140160
REQUEST	58		Welcome	1590257140160	1590257140163	OK	 
USER	AceptarLocalTestPositivo	17	START	1590257140178	1590257140178
REQUEST	17		Welcome	1590257140178	1590257140182	OK	 
USER	AceptarLocalTestNegativo	59	START	1590257140208	1590257140208
REQUEST	59		Welcome	1590257140209	1590257140212	OK	 
USER	AceptarLocalTestPositivo	18	START	1590257140238	1590257140238
REQUEST	18		Welcome	1590257140239	1590257140243	OK	 
USER	AceptarLocalTestNegativo	60	START	1590257140270	1590257140270
REQUEST	60		Welcome	1590257140270	1590257140273	OK	 
USER	AceptarLocalTestPositivo	19	START	1590257140285	1590257140285
REQUEST	19		Welcome	1590257140286	1590257140288	OK	 
USER	AceptarLocalTestNegativo	61	START	1590257140318	1590257140318
REQUEST	61		Welcome	1590257140319	1590257140322	OK	 
USER	AceptarLocalTestPositivo	20	START	1590257140334	1590257140334
