RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590254462246	 	3.3.1
USER	AceptarLocalTestNegativo	2	START	1590254463682	1590254463682
USER	AceptarLocalTestPositivo	1	START	1590254463681	1590254463681
REQUEST	1		Welcome	1590254463713	1590254463840	OK	 
REQUEST	2		Welcome	1590254463713	1590254463840	OK	 
REQUEST	1		RightLogin	1590254469875	1590254469878	OK	 
REQUEST	2		WrongLogin	1590254469875	1590254469878	OK	 
REQUEST	2		WrongLogged	1590254478889	1590254478897	OK	 
REQUEST	2		WrongLogged Redirect 1	1590254478911	1590254478930	OK	 
REQUEST	1		RightLogged	1590254506874	1590254506876	OK	 
REQUEST	1		RightLogged Redirect 1	1590254506878	1590254506902	OK	 
REQUEST	2		Forbidden	1590254519931	1590254519970	OK	 
USER	AceptarLocalTestNegativo	2	END	1590254463682	1590254527992
REQUEST	1		MyLocales	1590254531906	1590254532557	OK	 
REQUEST	1		ShowLocal	1590254544541	1590254544573	OK	 
REQUEST	1		LocalAccepted	1590254572593	1590254572598	OK	 
REQUEST	1		LocalAccepted Redirect 1	1590254572599	1590254572889	OK	 
USER	AceptarLocalTestPositivo	1	END	1590254463681	1590254616881
