ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarORechazarFiesta	aceptarorechazarfiesta	1590563209120	 	3.3.1
USER	DenegarFiesta	2	START	1590563209827	1590563209827
USER	AceptarFiesta	1	START	1590563209825	1590563209825
REQUEST	2		Home	1590563209858	1590563209877	OK	 
REQUEST	1		Home	1590563209858	1590563209877	OK	 
REQUEST	1		Login	1590563214900	1590563214902	OK	 
REQUEST	2		Login	1590563214900	1590563214902	OK	 
REQUEST	1		LoginPropietario	1590563234902	1590563234905	OK	 
REQUEST	2		LoginPropietario	1590563234902	1590563234905	OK	 
REQUEST	2		LoginPropietario Redirect 1	1590563234909	1590563234917	OK	 
REQUEST	1		LoginPropietario Redirect 1	1590563234909	1590563234917	OK	 
REQUEST	1		MisLocales	1590563376927	1590563376937	OK	 
REQUEST	2		MisLocales	1590563376927	1590563376937	OK	 
REQUEST	2		VerSolicitudes	1590563392937	1590563392947	OK	 
REQUEST	1		VerSolicitudes	1590563392937	1590563392947	OK	 
REQUEST	2		VerDetalleFiesta	1590563402942	1590563402951	OK	 
REQUEST	1		VerDetalleFiesta	1590563402942	1590563402952	OK	 
REQUEST	1		23457712be420ec1a113139552b091a3.jpg	1590563402968	1590563403080	OK	 
REQUEST	2		23457712be420ec1a113139552b091a3.jpg	1590563402968	1590563403073	OK	 
REQUEST	1		AceptarFiesta	1590563413096	1590563413104	OK	 
REQUEST	2		Denegar	1590563413096	1590563413104	OK	 
REQUEST	2		Logout	1590563419100	1590563419102	OK	 
REQUEST	1		Logout	1590563425104	1590563425105	OK	 
REQUEST	2		CofirmLogout	1590563429107	1590563429108	OK	 
REQUEST	2		CofirmLogout Redirect 1	1590563429109	1590563429115	OK	 
REQUEST	1		CofirmLogout	1590563435112	1590563435113	OK	 
REQUEST	1		CofirmLogout Redirect 1	1590563435114	1590563435120	OK	 
USER	DenegarFiesta	2	END	1590563209827	1590563455118
USER	AceptarFiesta	1	END	1590563209825	1590563461107
