ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarORechazarFiesta	aceptarorechazarfiesta	1590562783700	 	3.3.1
USER	DenegarFiesta	403	START	1590562785092	1590562785092
USER	DenegarFiesta	404	START	1590562785093	1590562785093
USER	DenegarFiesta	405	START	1590562785096	1590562785096
USER	DenegarFiesta	410	START	1590562785098	1590562785098
USER	DenegarFiesta	409	START	1590562785098	1590562785098
USER	AceptarFiesta	1	START	1590562785067	1590562785067
USER	DenegarFiesta	406	START	1590562785094	1590562785094
USER	AceptarFiesta	5	START	1590562785099	1590562785099
USER	AceptarFiesta	2	START	1590562785067	1590562785067
USER	AceptarFiesta	3	START	1590562785067	1590562785067
USER	DenegarFiesta	407	START	1590562785094	1590562785094
USER	AceptarFiesta	6	START	1590562785120	1590562785120
USER	AceptarFiesta	7	START	1590562785120	1590562785120
USER	DenegarFiesta	412	START	1590562785121	1590562785121
USER	AceptarFiesta	8	START	1590562785121	1590562785121
USER	DenegarFiesta	408	START	1590562785097	1590562785097
USER	DenegarFiesta	414	START	1590562785121	1590562785121
USER	DenegarFiesta	411	START	1590562785120	1590562785120
USER	AceptarFiesta	9	START	1590562785122	1590562785122
USER	DenegarFiesta	413	START	1590562785122	1590562785122
USER	AceptarFiesta	4	START	1590562785098	1590562785098
USER	AceptarFiesta	11	START	1590562785135	1590562785135
USER	DenegarFiesta	416	START	1590562785136	1590562785136
USER	AceptarFiesta	10	START	1590562785134	1590562785134
USER	AceptarFiesta	12	START	1590562785137	1590562785137
USER	AceptarFiesta	13	START	1590562785138	1590562785138
USER	DenegarFiesta	417	START	1590562785138	1590562785138
USER	DenegarFiesta	418	START	1590562785138	1590562785138
USER	DenegarFiesta	415	START	1590562785139	1590562785139
USER	DenegarFiesta	419	START	1590562785148	1590562785148
USER	AceptarFiesta	14	START	1590562785148	1590562785148
USER	DenegarFiesta	420	START	1590562785148	1590562785148
USER	AceptarFiesta	15	START	1590562785148	1590562785148
USER	AceptarFiesta	17	START	1590562785164	1590562785164
USER	DenegarFiesta	421	START	1590562785164	1590562785164
USER	DenegarFiesta	422	START	1590562785164	1590562785164
USER	DenegarFiesta	423	START	1590562785170	1590562785170
USER	DenegarFiesta	424	START	1590562785171	1590562785171
USER	AceptarFiesta	18	START	1590562785169	1590562785169
USER	AceptarFiesta	16	START	1590562785164	1590562785164
USER	AceptarFiesta	19	START	1590562785169	1590562785169
USER	AceptarFiesta	21	START	1590562785183	1590562785183
USER	AceptarFiesta	20	START	1590562785179	1590562785179
USER	DenegarFiesta	426	START	1590562785181	1590562785181
USER	DenegarFiesta	425	START	1590562785181	1590562785181
USER	AceptarFiesta	23	START	1590562785193	1590562785193
USER	DenegarFiesta	427	START	1590562785194	1590562785194
USER	DenegarFiesta	428	START	1590562785194	1590562785194
USER	AceptarFiesta	22	START	1590562785191	1590562785191
USER	AceptarFiesta	24	START	1590562785201	1590562785201
USER	DenegarFiesta	429	START	1590562785204	1590562785204
USER	DenegarFiesta	430	START	1590562785205	1590562785205
USER	AceptarFiesta	25	START	1590562785202	1590562785202
REQUEST	5		Home	1590562785113	1590562785188	OK	 
REQUEST	410		Home	1590562785113	1590562785202	OK	 
REQUEST	404		Home	1590562785114	1590562785188	OK	 
REQUEST	411		Home	1590562785121	1590562785188	OK	 
REQUEST	8		Home	1590562785121	1590562785188	OK	 
REQUEST	407		Home	1590562785114	1590562785188	OK	 
REQUEST	415		Home	1590562785140	1590562785194	OK	 
REQUEST	414		Home	1590562785122	1590562785188	OK	 
REQUEST	1		Home	1590562785114	1590562785188	OK	 
REQUEST	403		Home	1590562785113	1590562785195	OK	 
REQUEST	413		Home	1590562785122	1590562785189	OK	 
REQUEST	2		Home	1590562785114	1590562785193	OK	 
REQUEST	409		Home	1590562785113	1590562785212	OK	 
REQUEST	412		Home	1590562785121	1590562785216	OK	 
REQUEST	22		Home	1590562785198	1590562785217	OK	 
REQUEST	416		Home	1590562785137	1590562785218	OK	 
USER	DenegarFiesta	432	START	1590562785227	1590562785227
USER	DenegarFiesta	431	START	1590562785224	1590562785224
USER	AceptarFiesta	28	START	1590562785228	1590562785228
USER	AceptarFiesta	29	START	1590562785228	1590562785228
USER	DenegarFiesta	433	START	1590562785228	1590562785228
USER	DenegarFiesta	434	START	1590562785229	1590562785229
USER	AceptarFiesta	27	START	1590562785224	1590562785224
USER	AceptarFiesta	26	START	1590562785218	1590562785218
USER	DenegarFiesta	435	START	1590562785262	1590562785262
USER	DenegarFiesta	436	START	1590562785263	1590562785263
USER	DenegarFiesta	437	START	1590562785268	1590562785268
USER	AceptarFiesta	33	START	1590562785267	1590562785267
USER	DenegarFiesta	438	START	1590562785269	1590562785269
USER	AceptarFiesta	32	START	1590562785263	1590562785263
USER	AceptarFiesta	31	START	1590562785273	1590562785273
USER	AceptarFiesta	30	START	1590562785277	1590562785277
USER	AceptarFiesta	34	START	1590562785277	1590562785277
USER	DenegarFiesta	439	START	1590562785280	1590562785280
USER	DenegarFiesta	440	START	1590562785281	1590562785281
USER	AceptarFiesta	36	START	1590562785282	1590562785282
USER	AceptarFiesta	37	START	1590562785283	1590562785283
USER	DenegarFiesta	441	START	1590562785283	1590562785283
USER	DenegarFiesta	442	START	1590562785284	1590562785284
USER	AceptarFiesta	38	START	1590562785284	1590562785284
USER	AceptarFiesta	39	START	1590562785284	1590562785284
USER	DenegarFiesta	443	START	1590562785285	1590562785285
USER	DenegarFiesta	444	START	1590562785285	1590562785285
USER	AceptarFiesta	35	START	1590562785280	1590562785280
USER	DenegarFiesta	449	START	1590562785319	1590562785319
USER	DenegarFiesta	450	START	1590562785320	1590562785320
USER	AceptarFiesta	46	START	1590562785321	1590562785321
USER	AceptarFiesta	47	START	1590562785321	1590562785321
USER	DenegarFiesta	452	START	1590562785321	1590562785321
USER	DenegarFiesta	451	START	1590562785321	1590562785321
USER	AceptarFiesta	48	START	1590562785322	1590562785322
USER	AceptarFiesta	49	START	1590562785322	1590562785322
USER	DenegarFiesta	453	START	1590562785322	1590562785322
USER	DenegarFiesta	454	START	1590562785322	1590562785322
REQUEST	3		Home	1590562785114	1590562785325	OK	 
USER	AceptarFiesta	45	START	1590562785318	1590562785318
USER	AceptarFiesta	44	START	1590562785318	1590562785318
REQUEST	11		Home	1590562785135	1590562785330	OK	 
USER	DenegarFiesta	447	START	1590562785317	1590562785317
USER	DenegarFiesta	448	START	1590562785318	1590562785318
REQUEST	9		Home	1590562785122	1590562785324	OK	 
REQUEST	10		Home	1590562785137	1590562785334	OK	 
REQUEST	417		Home	1590562785138	1590562785337	OK	 
USER	AceptarFiesta	50	START	1590562785337	1590562785337
USER	AceptarFiesta	51	START	1590562785337	1590562785337
