ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	AceptarRechazarSolicitudTest	aceptarrechazarsolicitudtest	1590924589126	 	3.3.1
USER	RechazarSolicitudTest	2	START	1590924590018	1590924590018
USER	AceptarSolicitudTest	1	START	1590924590018	1590924590018
REQUEST	2		Home	1590924590042	1590924590071	OK	 
REQUEST	1		Home	1590924590042	1590924590071	OK	 
REQUEST	1		Login	1590924602097	1590924602099	OK	 
REQUEST	2		Login	1590924602097	1590924602099	OK	 
REQUEST	2		Logged	1590924609099	1590924609102	OK	 
REQUEST	1		Logged	1590924609099	1590924609102	OK	 
REQUEST	2		Logged Redirect 1	1590924609105	1590924609107	OK	 
REQUEST	1		Logged Redirect 1	1590924609105	1590924609107	OK	 
REQUEST	2		ListMisFiestas	1590924641109	1590924641111	OK	 
REQUEST	1		ListMisFiestas	1590924641109	1590924641111	OK	 
REQUEST	2		ListMisFiestas Redirect 1	1590924641111	1590924641113	OK	 
REQUEST	1		ListMisFiestas Redirect 1	1590924641111	1590924641113	OK	 
REQUEST	1		ShowFiesta	1590924651106	1590924651126	OK	 
REQUEST	2		ShowFiesta	1590924651106	1590924651126	OK	 
REQUEST	1		AceptarSolicitud	1590924663137	1590924663139	OK	 
REQUEST	2		RechazarSolicitud	1590924663137	1590924663139	OK	 
REQUEST	2		RechazarSolicitud Redirect 1	1590924663139	1590924663140	OK	 
REQUEST	1		AceptarSolicitud Redirect 1	1590924663139	1590924663140	OK	 
USER	AceptarSolicitudTest	1	END	1590924590018	1590924671141
USER	RechazarSolicitudTest	2	END	1590924590018	1590924672137
