ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	AceptarRechazarSolicitudTest	aceptarrechazarsolicitudtest	1590421982637	 	3.3.1
USER	AceptarSolicitudTest	1	START	1590421983528	1590421983528
USER	RechazarSolicitudTest	12	START	1590421983536	1590421983536
REQUEST	12		Home	1590421983557	1590421983575	OK	 
REQUEST	1		Home	1590421983557	1590421983575	OK	 
REQUEST	12		favicon.png	1590421983653	1590421983658	OK	 
REQUEST	1		favicon.png	1590421983653	1590421983658	OK	 
REQUEST	1		spring-pivotal-logo.png	1590421983655	1590421983673	OK	 
REQUEST	12		petclinic.css	1590421983654	1590421983675	OK	 
REQUEST	1		petclinic.css	1590421983654	1590421983677	OK	 
REQUEST	1		jquery-ui.min.js	1590421983667	1590421983702	OK	 
REQUEST	1		jquery-ui.min.css	1590421983654	1590421983704	OK	 
REQUEST	12		jquery-ui.min.js	1590421983667	1590421983704	OK	 
REQUEST	12		jquery-ui.min.css	1590421983654	1590421983706	OK	 
REQUEST	1		jquery-ui.theme.min.css	1590421983655	1590421983706	OK	 
REQUEST	12		jquery-ui.theme.min.css	1590421983655	1590421983707	OK	 
REQUEST	1		bootstrap.min.js	1590421983674	1590421983708	OK	 
REQUEST	12		spring-pivotal-logo.png	1590421983655	1590421983708	OK	 
REQUEST	1		jquery.min.js	1590421983655	1590421983709	OK	 
REQUEST	12		jquery.min.js	1590421983656	1590421983709	OK	 
REQUEST	12		bootstrap.min.js	1590421983701	1590421983711	OK	 
USER	AceptarSolicitudTest	2	START	1590421983737	1590421983737
REQUEST	2		Home	1590421983737	1590421983744	OK	 
USER	RechazarSolicitudTest	13	START	1590421983748	1590421983748
REQUEST	13		Home	1590421983748	1590421983755	OK	 
REQUEST	2		favicon.png	1590421983749	1590421983757	OK	 
REQUEST	2		petclinic.css	1590421983750	1590421983762	OK	 
REQUEST	2		jquery-ui.min.js	1590421983758	1590421983766	OK	 
REQUEST	2		jquery-ui.min.css	1590421983751	1590421983767	OK	 
REQUEST	13		favicon.png	1590421983763	1590421983767	OK	 
REQUEST	2		spring-pivotal-logo.png	1590421983753	1590421983768	OK	 
REQUEST	2		jquery.min.js	1590421983754	1590421983770	OK	 
REQUEST	2		bootstrap.min.js	1590421983764	1590421983771	OK	 
REQUEST	2		jquery-ui.theme.min.css	1590421983752	1590421983772	OK	 
REQUEST	13		petclinic.css	1590421983763	1590421983773	OK	 
REQUEST	13		spring-pivotal-logo.png	1590421983765	1590421983777	OK	 
REQUEST	13		jquery.min.js	1590421983765	1590421983779	OK	 
REQUEST	13		bootstrap.min.js	1590421983776	1590421983780	OK	 
REQUEST	13		jquery-ui.min.css	1590421983764	1590421983783	OK	 
REQUEST	13		jquery-ui.theme.min.css	1590421983764	1590421983785	OK	 
REQUEST	13		jquery-ui.min.js	1590421983768	1590421983786	OK	 
REQUEST	12		jquery.min.js	1590421983634	1590421983833	OK	 
REQUEST	1		jquery.min.js	1590421983634	1590421983833	OK	 
REQUEST	2		jquery.min.js	1590421983749	1590421983898	OK	 
REQUEST	13		jquery.min.js	1590421983762	1590421983910	OK	 
USER	AceptarSolicitudTest	3	START	1590421983938	1590421983938
REQUEST	3		Home	1590421983938	1590421983945	OK	 
USER	RechazarSolicitudTest	14	START	1590421983948	1590421983948
REQUEST	3		favicon.png	1590421983949	1590421983953	OK	 
REQUEST	14		Home	1590421983949	1590421983958	OK	 
REQUEST	3		petclinic.css	1590421983949	1590421983960	OK	 
REQUEST	3		jquery-ui.min.css	1590421983950	1590421983963	OK	 
REQUEST	3		jquery-ui.theme.min.css	1590421983950	1590421983964	OK	 
REQUEST	3		spring-pivotal-logo.png	1590421983951	1590421983964	OK	 
REQUEST	3		jquery-ui.min.js	1590421983953	1590421983965	OK	 
REQUEST	3		bootstrap.min.js	1590421983961	1590421983966	OK	 
REQUEST	3		jquery.min.js	1590421983951	1590421983966	OK	 
REQUEST	14		favicon.png	1590421983964	1590421983967	OK	 
REQUEST	14		jquery-ui.min.css	1590421983965	1590421983972	OK	 
REQUEST	14		jquery-ui.min.js	1590421983968	1590421983976	OK	 
REQUEST	14		petclinic.css	1590421983964	1590421983977	OK	 
REQUEST	14		jquery-ui.theme.min.css	1590421983965	1590421983978	OK	 
REQUEST	14		spring-pivotal-logo.png	1590421983966	1590421983978	OK	 
REQUEST	14		jquery.min.js	1590421983966	1590421983979	OK	 
REQUEST	14		bootstrap.min.js	1590421983975	1590421983979	OK	 
REQUEST	3		jquery.min.js	1590421983948	1590421984088	OK	 
REQUEST	14		jquery.min.js	1590421983963	1590421984098	OK	 
USER	AceptarSolicitudTest	4	START	1590421984142	1590421984142
USER	RechazarSolicitudTest	15	START	1590421984147	1590421984147
REQUEST	4		Home	1590421984142	1590421984148	OK	 
REQUEST	15		Home	1590421984147	1590421984152	OK	 
REQUEST	4		favicon.png	1590421984152	1590421984159	OK	 
REQUEST	15		favicon.png	1590421984159	1590421984164	OK	 
REQUEST	4		spring-pivotal-logo.png	1590421984155	1590421984164	OK	 
REQUEST	4		petclinic.css	1590421984153	1590421984165	OK	 
REQUEST	4		jquery.min.js	1590421984157	1590421984167	OK	 
REQUEST	4		jquery-ui.min.css	1590421984154	1590421984168	OK	 
REQUEST	4		jquery-ui.theme.min.css	1590421984154	1590421984169	OK	 
REQUEST	4		jquery-ui.min.js	1590421984160	1590421984170	OK	 
REQUEST	15		petclinic.css	1590421984160	1590421984171	OK	 
REQUEST	4		bootstrap.min.js	1590421984164	1590421984173	OK	 
REQUEST	15		jquery-ui.min.js	1590421984164	1590421984174	OK	 
REQUEST	15		jquery-ui.min.css	1590421984160	1590421984175	OK	 
REQUEST	15		jquery-ui.theme.min.css	1590421984161	1590421984176	OK	 
REQUEST	15		spring-pivotal-logo.png	1590421984161	1590421984176	OK	 
REQUEST	15		jquery.min.js	1590421984162	1590421984177	OK	 
REQUEST	15		bootstrap.min.js	1590421984173	1590421984177	OK	 
REQUEST	15		jquery.min.js	1590421984159	1590421984300	OK	 
REQUEST	4		jquery.min.js	1590421984152	1590421984305	OK	 
USER	AceptarSolicitudTest	5	START	1590421984342	1590421984342
REQUEST	5		Home	1590421984342	1590421984347	OK	 
USER	RechazarSolicitudTest	16	START	1590421984347	1590421984347
REQUEST	16		Home	1590421984348	1590421984351	OK	 
REQUEST	5		favicon.png	1590421984352	1590421984355	OK	 
REQUEST	16		favicon.png	1590421984355	1590421984358	OK	 
REQUEST	5		petclinic.css	1590421984352	1590421984359	OK	 
REQUEST	5		jquery-ui.min.js	1590421984356	1590421984361	OK	 
REQUEST	5		jquery-ui.min.css	1590421984353	1590421984362	OK	 
REQUEST	16		petclinic.css	1590421984355	1590421984362	OK	 
REQUEST	5		jquery.min.js	1590421984354	1590421984364	OK	 
REQUEST	5		jquery-ui.theme.min.css	1590421984353	1590421984366	OK	 
REQUEST	16		jquery.min.js	1590421984356	1590421984366	OK	 
REQUEST	16		jquery-ui.min.css	1590421984355	1590421984367	OK	 
REQUEST	5		spring-pivotal-logo.png	1590421984354	1590421984368	OK	 
REQUEST	16		jquery-ui.theme.min.css	1590421984356	1590421984367	OK	 
REQUEST	5		bootstrap.min.js	1590421984361	1590421984368	OK	 
REQUEST	16		spring-pivotal-logo.png	1590421984356	1590421984369	OK	 
REQUEST	16		jquery-ui.min.js	1590421984359	1590421984369	OK	 
REQUEST	16		bootstrap.min.js	1590421984364	1590421984370	OK	 
REQUEST	16		jquery.min.js	1590421984354	1590421984489	OK	 
REQUEST	5		jquery.min.js	1590421984351	1590421984502	OK	 
USER	AceptarSolicitudTest	6	START	1590421984537	1590421984537
REQUEST	6		Home	1590421984537	1590421984542	OK	 
REQUEST	6		favicon.png	1590421984544	1590421984547	OK	 
USER	RechazarSolicitudTest	17	START	1590421984547	1590421984547
REQUEST	6		petclinic.css	1590421984545	1590421984551	OK	 
REQUEST	17		Home	1590421984547	1590421984551	OK	 
REQUEST	6		jquery-ui.min.js	1590421984547	1590421984553	OK	 
REQUEST	6		jquery-ui.min.css	1590421984545	1590421984554	OK	 
REQUEST	6		jquery-ui.theme.min.css	1590421984545	1590421984554	OK	 
REQUEST	6		spring-pivotal-logo.png	1590421984546	1590421984555	OK	 
REQUEST	6		jquery.min.js	1590421984546	1590421984555	OK	 
REQUEST	6		bootstrap.min.js	1590421984552	1590421984556	OK	 
REQUEST	17		favicon.png	1590421984556	1590421984559	OK	 
REQUEST	17		petclinic.css	1590421984556	1590421984562	OK	 
REQUEST	17		jquery-ui.min.css	1590421984556	1590421984576	OK	 
REQUEST	17		jquery-ui.theme.min.css	1590421984557	1590421984577	OK	 
REQUEST	17		spring-pivotal-logo.png	1590421984557	1590421984578	OK	 
REQUEST	17		jquery-ui.min.js	1590421984559	1590421984578	OK	 
REQUEST	17		bootstrap.min.js	1590421984576	1590421984579	OK	 
REQUEST	17		jquery.min.js	1590421984557	1590421984579	OK	 
REQUEST	6		jquery.min.js	1590421984544	1590421984689	OK	 
REQUEST	17		jquery.min.js	1590421984555	1590421984708	OK	 
USER	AceptarSolicitudTest	7	START	1590421984738	1590421984738
REQUEST	7		Home	1590421984738	1590421984744	OK	 
USER	RechazarSolicitudTest	18	START	1590421984749	1590421984749
REQUEST	7		favicon.png	1590421984748	1590421984751	OK	 
REQUEST	18		Home	1590421984749	1590421984753	OK	 
REQUEST	7		spring-pivotal-logo.png	1590421984749	1590421984755	OK	 
REQUEST	7		petclinic.css	1590421984748	1590421984757	OK	 
REQUEST	7		jquery.min.js	1590421984749	1590421984758	OK	 
REQUEST	7		jquery-ui.min.css	1590421984749	1590421984759	OK	 
REQUEST	7		jquery-ui.theme.min.css	1590421984749	1590421984760	OK	 
REQUEST	7		jquery-ui.min.js	1590421984751	1590421984761	OK	 
REQUEST	18		favicon.png	1590421984757	1590421984762	OK	 
