ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.BuscarLocalTestDiagnosis	buscarlocaltestdiagnosis	1590161608069	 	3.3.1
USER	BuscarLocalNegativoTest	73	START	1590161609809	1590161609809
USER	BuscarLocalPositivoTest	2	START	1590161609820	1590161609820
USER	BuscarLocalNegativoTest	72	START	1590161609809	1590161609809
USER	BuscarLocalPositivoTest	1	START	1590161609786	1590161609786
USER	BuscarLocalPositivoTest	3	START	1590161609855	1590161609855
USER	BuscarLocalNegativoTest	74	START	1590161609855	1590161609855
USER	BuscarLocalNegativoTest	75	START	1590161609890	1590161609890
USER	BuscarLocalPositivoTest	4	START	1590161609892	1590161609892
REQUEST	3		Welcome	1590161609857	1590161609874	OK	 
REQUEST	73		Welcome	1590161609841	1590161609896	OK	 
REQUEST	72		Welcome	1590161609841	1590161609874	OK	 
REQUEST	2		Welcome	1590161609842	1590161609909	OK	 
USER	BuscarLocalNegativoTest	76	START	1590161609910	1590161609910
REQUEST	4		Welcome	1590161609893	1590161609917	OK	 
USER	BuscarLocalPositivoTest	5	START	1590161609920	1590161609920
USER	BuscarLocalNegativoTest	77	START	1590161609937	1590161609937
USER	BuscarLocalPositivoTest	6	START	1590161609937	1590161609937
USER	BuscarLocalNegativoTest	78	START	1590161609969	1590161609969
USER	BuscarLocalPositivoTest	7	START	1590161609969	1590161609969
REQUEST	77		Welcome	1590161609939	1590161609977	OK	 
USER	BuscarLocalNegativoTest	79	START	1590161610000	1590161610000
USER	BuscarLocalPositivoTest	8	START	1590161610000	1590161610000
REQUEST	5		Welcome	1590161609921	1590161610015	OK	 
REQUEST	7		Welcome	1590161609972	1590161610016	OK	 
REQUEST	74		Welcome	1590161609856	1590161610017	OK	 
REQUEST	78		Welcome	1590161609970	1590161610019	OK	 
USER	BuscarLocalNegativoTest	80	START	1590161610021	1590161610021
REQUEST	6		Welcome	1590161609942	1590161610026	OK	 
REQUEST	1		Welcome	1590161609841	1590161610023	OK	 
REQUEST	79		Welcome	1590161610001	1590161610028	OK	 
REQUEST	8		Welcome	1590161610004	1590161610029	OK	 
REQUEST	75		Welcome	1590161609891	1590161610030	OK	 
USER	BuscarLocalPositivoTest	9	START	1590161610035	1590161610035
REQUEST	80		Welcome	1590161610022	1590161610039	OK	 
REQUEST	76		Welcome	1590161609912	1590161610027	OK	 
REQUEST	9		Welcome	1590161610035	1590161610043	OK	 
USER	BuscarLocalNegativoTest	81	START	1590161610047	1590161610047
REQUEST	81		Welcome	1590161610048	1590161610055	OK	 
USER	BuscarLocalPositivoTest	10	START	1590161610058	1590161610058
REQUEST	10		Welcome	1590161610059	1590161610079	OK	 
USER	BuscarLocalNegativoTest	82	START	1590161610085	1590161610085
REQUEST	82		Welcome	1590161610086	1590161610091	OK	 
USER	BuscarLocalPositivoTest	11	START	1590161610108	1590161610108
REQUEST	11		Welcome	1590161610109	1590161610116	OK	 
USER	BuscarLocalNegativoTest	83	START	1590161610123	1590161610123
USER	BuscarLocalPositivoTest	12	START	1590161610126	1590161610126
REQUEST	12		Welcome	1590161610127	1590161610142	OK	 
REQUEST	83		Welcome	1590161610124	1590161610142	OK	 
USER	BuscarLocalNegativoTest	84	START	1590161610146	1590161610146
USER	BuscarLocalPositivoTest	13	START	1590161610145	1590161610145
REQUEST	84		Welcome	1590161610146	1590161610152	OK	 
USER	BuscarLocalNegativoTest	85	START	1590161610171	1590161610171
USER	BuscarLocalPositivoTest	14	START	1590161610171	1590161610171
REQUEST	13		Welcome	1590161610146	1590161610177	OK	 
REQUEST	14		Welcome	1590161610172	1590161610182	OK	 
REQUEST	85		Welcome	1590161610172	1590161610183	OK	 
USER	BuscarLocalNegativoTest	86	START	1590161610199	1590161610199
USER	BuscarLocalPositivoTest	15	START	1590161610199	1590161610199
REQUEST	86		Welcome	1590161610200	1590161610204	OK	 
REQUEST	15		Welcome	1590161610199	1590161610204	OK	 
USER	BuscarLocalNegativoTest	87	START	1590161610216	1590161610216
REQUEST	87		Welcome	1590161610217	1590161610228	OK	 
USER	BuscarLocalPositivoTest	16	START	1590161610230	1590161610230
REQUEST	16		Welcome	1590161610231	1590161610237	OK	 
USER	BuscarLocalNegativoTest	88	START	1590161610250	1590161610250
REQUEST	88		Welcome	1590161610251	1590161610256	OK	 
USER	BuscarLocalPositivoTest	17	START	1590161610261	1590161610261
REQUEST	17		Welcome	1590161610262	1590161610266	OK	 
USER	BuscarLocalNegativoTest	89	START	1590161610276	1590161610276
REQUEST	89		Welcome	1590161610277	1590161610281	OK	 
USER	BuscarLocalPositivoTest	18	START	1590161610298	1590161610298
REQUEST	18		Welcome	1590161610299	1590161610303	OK	 
USER	BuscarLocalNegativoTest	90	START	1590161610309	1590161610309
REQUEST	90		Welcome	1590161610310	1590161610314	OK	 
USER	BuscarLocalPositivoTest	19	START	1590161610331	1590161610331
REQUEST	19		Welcome	1590161610332	1590161610336	OK	 
USER	BuscarLocalNegativoTest	91	START	1590161610336	1590161610336
REQUEST	91		Welcome	1590161610336	1590161610342	OK	 
USER	BuscarLocalPositivoTest	20	START	1590161610346	1590161610346
REQUEST	20		Welcome	1590161610347	1590161610352	OK	 
USER	BuscarLocalNegativoTest	92	START	1590161610366	1590161610366
REQUEST	92		Welcome	1590161610367	1590161610371	OK	 
USER	BuscarLocalPositivoTest	21	START	1590161610377	1590161610377
REQUEST	21		Welcome	1590161610378	1590161610382	OK	 
USER	BuscarLocalNegativoTest	93	START	1590161610398	1590161610398
REQUEST	93		Welcome	1590161610399	1590161610403	OK	 
USER	BuscarLocalPositivoTest	22	START	1590161610409	1590161610409
REQUEST	22		Welcome	1590161610410	1590161610414	OK	 
USER	BuscarLocalNegativoTest	94	START	1590161610420	1590161610420
REQUEST	94		Welcome	1590161610421	1590161610424	OK	 
USER	BuscarLocalPositivoTest	23	START	1590161610436	1590161610436
REQUEST	23		Welcome	1590161610436	1590161610441	OK	 
USER	BuscarLocalNegativoTest	95	START	1590161610446	1590161610446
REQUEST	95		Welcome	1590161610446	1590161610450	OK	 
USER	BuscarLocalPositivoTest	24	START	1590161610468	1590161610468
REQUEST	24		Welcome	1590161610468	1590161610472	OK	 
USER	BuscarLocalNegativoTest	96	START	1590161610479	1590161610479
REQUEST	96		Welcome	1590161610480	1590161610484	OK	 
USER	BuscarLocalPositivoTest	25	START	1590161610501	1590161610501
REQUEST	25		Welcome	1590161610502	1590161610506	OK	 
USER	BuscarLocalNegativoTest	97	START	1590161610506	1590161610506
REQUEST	97		Welcome	1590161610506	1590161610511	OK	 
USER	BuscarLocalPositivoTest	26	START	1590161610528	1590161610528
REQUEST	26		Welcome	1590161610529	1590161610533	OK	 
USER	BuscarLocalNegativoTest	98	START	1590161610539	1590161610539
REQUEST	98		Welcome	1590161610539	1590161610544	OK	 
USER	BuscarLocalPositivoTest	27	START	1590161610549	1590161610549
REQUEST	27		Welcome	1590161610550	1590161610554	OK	 
USER	BuscarLocalNegativoTest	99	START	1590161610571	1590161610571
REQUEST	99		Welcome	1590161610571	1590161610575	OK	 
USER	BuscarLocalPositivoTest	28	START	1590161610576	1590161610576
REQUEST	28		Welcome	1590161610576	1590161610581	OK	 
USER	BuscarLocalNegativoTest	100	START	1590161610600	1590161610600
REQUEST	100		Welcome	1590161610601	1590161610605	OK	 
USER	BuscarLocalPositivoTest	29	START	1590161610606	1590161610606
REQUEST	29		Welcome	1590161610607	1590161610612	OK	 
USER	BuscarLocalNegativoTest	101	START	1590161610618	1590161610618
REQUEST	101		Welcome	1590161610618	1590161610622	OK	 
USER	BuscarLocalPositivoTest	30	START	1590161610640	1590161610640
REQUEST	30		Welcome	1590161610640	1590161610644	OK	 
USER	BuscarLocalNegativoTest	102	START	1590161610650	1590161610650
REQUEST	102		Welcome	1590161610651	1590161610655	OK	 
USER	BuscarLocalPositivoTest	31	START	1590161610671	1590161610671
USER	BuscarLocalNegativoTest	103	START	1590161610676	1590161610676
REQUEST	31		Welcome	1590161610672	1590161610677	OK	 
REQUEST	103		Welcome	1590161610676	1590161610683	OK	 
USER	BuscarLocalPositivoTest	32	START	1590161610697	1590161610697
REQUEST	32		Welcome	1590161610698	1590161610704	OK	 
USER	BuscarLocalNegativoTest	104	START	1590161610712	1590161610712
REQUEST	104		Welcome	1590161610713	1590161610719	OK	 
USER	BuscarLocalPositivoTest	33	START	1590161610727	1590161610727
REQUEST	33		Welcome	1590161610728	1590161610732	OK	 
USER	BuscarLocalNegativoTest	105	START	1590161610738	1590161610738
REQUEST	105		Welcome	1590161610739	1590161610745	OK	 
USER	BuscarLocalPositivoTest	34	START	1590161610749	1590161610749
REQUEST	34		Welcome	1590161610750	1590161610756	OK	 
USER	BuscarLocalNegativoTest	106	START	1590161610766	1590161610766
REQUEST	106		Welcome	1590161610766	1590161610771	OK	 
USER	BuscarLocalPositivoTest	35	START	1590161610776	1590161610776
REQUEST	35		Welcome	1590161610777	1590161610781	OK	 
USER	BuscarLocalNegativoTest	107	START	1590161610798	1590161610798
REQUEST	107		Welcome	1590161610799	1590161610803	OK	 
USER	BuscarLocalPositivoTest	36	START	1590161610809	1590161610809
REQUEST	36		Welcome	1590161610809	1590161610813	OK	 
USER	BuscarLocalNegativoTest	108	START	1590161610820	1590161610820
