RUN	dp2.BuscarLocalTest	buscarlocaltest	1590144799846	 	3.3.1
USER	BuscarLocalPositivoTest	1	START	1590144801469	1590144801469
USER	BuscarLocalNegativoTest	2	START	1590144801471	1590144801471
REQUEST	2		Welcome	1590144801511	1590144801586	OK	 
REQUEST	1		Welcome	1590144801511	1590144801574	OK	 
REQUEST	1		BuscarLocalForm	1590144808602	1590144808649	OK	 
REQUEST	2		BuscarLocalForm	1590144808602	1590144808653	OK	 
REQUEST	1		ThereAreResults	1590144818634	1590144818666	OK	 
REQUEST	2		ThereAreNoResults	1590144818658	1590144818678	OK	 
USER	BuscarLocalPositivoTest	1	END	1590144801469	1590144825681
USER	BuscarLocalNegativoTest	2	END	1590144801471	1590144834672
