RUN	comentario.ComentarFiestaLocalTest	comentarfiestalocaltest	1590264779346	 	3.3.1
USER	ComentarLocal	2	START	1590264781117	1590264781117
USER	ComentarFiesta	1	START	1590264781116	1590264781116
REQUEST	2		Home	1590264781170	1590264781348	OK	 
REQUEST	1		Home	1590264781170	1590264781348	OK	 
REQUEST	2		Login	1590264789373	1590264789377	OK	 
REQUEST	1		Login	1590264789373	1590264789377	OK	 
REQUEST	1		request_2	1590264789402	1590264789405	OK	 
REQUEST	2		request_2	1590264789402	1590264789405	OK	 
REQUEST	2		Logged	1590264804422	1590264804427	OK	 
REQUEST	1		Logged	1590264804422	1590264804427	OK	 
REQUEST	1		Logged Redirect 1	1590264804433	1590264804436	OK	 
REQUEST	2		Logged Redirect 1	1590264804433	1590264804437	OK	 
REQUEST	2		ShowLocal	1590264846425	1590264846460	OK	 
REQUEST	1		ShowFiesta	1590264846425	1590264846471	OK	 
REQUEST	2		request_7	1590264854473	1590264854503	OK	 
REQUEST	2		LocalComentado	1590264868486	1590264868489	OK	 
REQUEST	2		LocalComentado Redirect 1	1590264868490	1590264868492	OK	 
REQUEST	1		FiestaComentada	1590264875465	1590264875469	OK	 
REQUEST	1		FiestaComentada Redirect 1	1590264875470	1590264875472	OK	 
USER	ComentarLocal	2	END	1590264781117	1590264881510
USER	ComentarFiesta	1	END	1590264781116	1590264888475
