ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearAnuncioTest	crearanunciotest	1590177273315	 	3.3.1
USER	CrearAnuncioTestNegativo	53	START	1590177274848	1590177274848
USER	CrearAnuncioTestPositivo	1	START	1590177274811	1590177274811
USER	CrearAnuncioTestNegativo	52	START	1590177274841	1590177274841
USER	CrearAnuncioTestPositivo	2	START	1590177274866	1590177274866
USER	CrearAnuncioTestNegativo	54	START	1590177274909	1590177274909
REQUEST	2		Welcome	1590177274874	1590177274916	OK	 
REQUEST	52		Welcome	1590177274874	1590177274916	OK	 
REQUEST	1		Welcome	1590177274873	1590177274914	OK	 
REQUEST	53		Welcome	1590177274873	1590177274915	OK	 
USER	CrearAnuncioTestPositivo	3	START	1590177274949	1590177274949
USER	CrearAnuncioTestPositivo	4	START	1590177274952	1590177274952
USER	CrearAnuncioTestNegativo	55	START	1590177274953	1590177274953
REQUEST	54		Welcome	1590177274910	1590177274983	OK	 
REQUEST	3		Welcome	1590177274954	1590177274986	OK	 
USER	CrearAnuncioTestNegativo	56	START	1590177274994	1590177274994
USER	CrearAnuncioTestPositivo	5	START	1590177275006	1590177275006
REQUEST	56		Welcome	1590177274995	1590177275033	OK	 
REQUEST	55		Welcome	1590177274969	1590177275035	OK	 
USER	CrearAnuncioTestNegativo	57	START	1590177275042	1590177275042
USER	CrearAnuncioTestPositivo	6	START	1590177275043	1590177275043
USER	CrearAnuncioTestNegativo	58	START	1590177275070	1590177275070
REQUEST	6		Welcome	1590177275043	1590177275087	OK	 
REQUEST	57		Welcome	1590177275042	1590177275091	OK	 
REQUEST	58		Welcome	1590177275070	1590177275092	OK	 
REQUEST	5		Welcome	1590177275007	1590177275092	OK	 
REQUEST	4		Welcome	1590177274955	1590177275093	OK	 
USER	CrearAnuncioTestNegativo	59	START	1590177275102	1590177275102
USER	CrearAnuncioTestPositivo	7	START	1590177275094	1590177275094
REQUEST	7		Welcome	1590177275103	1590177275110	OK	 
REQUEST	59		Welcome	1590177275103	1590177275116	OK	 
USER	CrearAnuncioTestPositivo	8	START	1590177275117	1590177275117
REQUEST	8		Welcome	1590177275118	1590177275129	OK	 
USER	CrearAnuncioTestNegativo	60	START	1590177275138	1590177275138
REQUEST	60		Welcome	1590177275139	1590177275143	OK	 
USER	CrearAnuncioTestPositivo	9	START	1590177275159	1590177275159
REQUEST	9		Welcome	1590177275160	1590177275164	OK	 
USER	CrearAnuncioTestNegativo	61	START	1590177275178	1590177275178
REQUEST	61		Welcome	1590177275179	1590177275183	OK	 
USER	CrearAnuncioTestPositivo	10	START	1590177275206	1590177275206
REQUEST	10		Welcome	1590177275206	1590177275210	OK	 
USER	CrearAnuncioTestNegativo	62	START	1590177275221	1590177275221
REQUEST	62		Welcome	1590177275223	1590177275227	OK	 
