RUN	dp2.CrearAnuncioTest	crearanunciotest	1590172247715	 	3.3.1
USER	CrearAnuncioTestNegativo	2	START	1590172249366	1590172249366
USER	CrearAnuncioTestPositivo	1	START	1590172249363	1590172249363
REQUEST	1		Welcome	1590172249409	1590172249459	OK	 
REQUEST	2		Welcome	1590172249409	1590172249459	OK	 
REQUEST	2		Login	1590172258494	1590172258499	OK	 
REQUEST	1		Login	1590172258494	1590172258499	OK	 
REQUEST	1		Logged	1590172277499	1590172277516	OK	 
REQUEST	2		Logged	1590172277499	1590172277567	OK	 
REQUEST	1		Logged Redirect 1	1590172277533	1590172277580	OK	 
REQUEST	2		Logged Redirect 1	1590172277572	1590172277603	OK	 
REQUEST	1		ShowFiesta	1590172294594	1590172294662	OK	 
REQUEST	2		ShowFiesta	1590172294624	1590172294702	OK	 
REQUEST	1		FormAnuncio	1590172302690	1590172302737	OK	 
REQUEST	2		FormAnuncio	1590172302690	1590172302734	OK	 
REQUEST	1		AnuncioCreated	1590172311713	1590172311735	OK	 
REQUEST	1		AnuncioCreated Redirect 1	1590172311737	1590172311780	OK	 
REQUEST	2		FieldEmpty	1590172311744	1590172311802	OK	 
USER	CrearAnuncioTestPositivo	1	END	1590172249363	1590172318818
USER	CrearAnuncioTestNegativo	2	END	1590172249366	1590172329819
