ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	CrearFiesta	crearfiesta	1590564420233	 	3.3.1
USER	AceptarLocal	2	START	1590564420928	1590564420928
USER	CrearFiesta	1	START	1590564420927	1590564420927
REQUEST	2		Home	1590564420959	1590564420992	OK	 
REQUEST	1		Home	1590564420959	1590564420992	OK	 
REQUEST	1		Login	1590564426026	1590564426028	OK	 
REQUEST	2		Login	1590564426026	1590564426028	OK	 
REQUEST	1		LoggedCliente	1590564446018	1590564446021	OK	 
REQUEST	2		LoggedAdmin	1590564446018	1590564446021	OK	 
REQUEST	1		LoggedCliente Redirect 1	1590564446025	1590564446032	OK	 
REQUEST	2		LoggedAdmin Redirect 1	1590564446025	1590564446032	OK	 
REQUEST	2		GetLocales	1590564463036	1590564463045	OK	 
REQUEST	2		detalleLocal	1590564483050	1590564483298	OK	 
REQUEST	2		AceptarLocal	1590564496306	1590564496319	OK	 
REQUEST	2		AceptarLocal Redirect 1	1590564496319	1590564496326	OK	 
REQUEST	2		Logout	1590564502327	1590564502329	OK	 
REQUEST	2		CofirmLogout	1590564512318	1590564512321	OK	 
REQUEST	2		CofirmLogout Redirect 1	1590564512322	1590564512328	OK	 
USER	AceptarLocal	2	END	1590564420928	1590564538328
REQUEST	1		detalleLocal	1590564588035	1590564588066	OK	 
REQUEST	1		getCrearFiesta	1590564601055	1590564601412	OK	 
REQUEST	1		postCrearFiesta	1590564628424	1590564628449	OK	 
REQUEST	1		postCrearFiesta Redirect 1	1590564628450	1590564628470	OK	 
REQUEST	1		Logout	1590564657464	1590564657465	OK	 
REQUEST	1		CofirmLogout	1590564667479	1590564667481	OK	 
REQUEST	1		CofirmLogout Redirect 1	1590564667482	1590564667493	OK	 
USER	CrearFiesta	1	END	1590564420927	1590564693484
