ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearLocalTest	crearlocaltest	1590235716678	 	3.3.1
USER	CrearLocalTestNegativo	52	START	1590235717988	1590235717988
USER	CrearLocalTestPositivo	1	START	1590235717972	1590235717972
USER	CrearLocalTestNegativo	53	START	1590235718020	1590235718020
USER	CrearLocalTestPositivo	2	START	1590235718043	1590235718043
REQUEST	53		Welcome	1590235718022	1590235718039	OK	 
REQUEST	52		Welcome	1590235718014	1590235718039	OK	 
REQUEST	2		Welcome	1590235718044	1590235718048	OK	 
REQUEST	1		Welcome	1590235718014	1590235718039	OK	 
USER	CrearLocalTestNegativo	54	START	1590235718059	1590235718059
REQUEST	54		Welcome	1590235718060	1590235718066	OK	 
USER	CrearLocalTestPositivo	3	START	1590235718074	1590235718074
REQUEST	3		Welcome	1590235718075	1590235718081	OK	 
USER	CrearLocalTestNegativo	55	START	1590235718105	1590235718105
USER	CrearLocalTestPositivo	4	START	1590235718107	1590235718107
REQUEST	55		Welcome	1590235718106	1590235718112	OK	 
REQUEST	4		Welcome	1590235718108	1590235718124	OK	 
USER	CrearLocalTestNegativo	56	START	1590235718137	1590235718137
REQUEST	56		Welcome	1590235718137	1590235718142	OK	 
USER	CrearLocalTestPositivo	5	START	1590235718152	1590235718152
REQUEST	5		Welcome	1590235718153	1590235718156	OK	 
USER	CrearLocalTestNegativo	57	START	1590235718183	1590235718183
USER	CrearLocalTestPositivo	6	START	1590235718187	1590235718187
REQUEST	57		Welcome	1590235718184	1590235718189	OK	 
REQUEST	6		Welcome	1590235718187	1590235718190	OK	 
USER	CrearLocalTestNegativo	58	START	1590235718217	1590235718217
REQUEST	58		Welcome	1590235718218	1590235718225	OK	 
USER	CrearLocalTestPositivo	7	START	1590235718232	1590235718232
REQUEST	7		Welcome	1590235718232	1590235718236	OK	 
USER	CrearLocalTestNegativo	59	START	1590235718263	1590235718263
USER	CrearLocalTestPositivo	8	START	1590235718267	1590235718267
REQUEST	8		Welcome	1590235718268	1590235718274	OK	 
REQUEST	59		Welcome	1590235718265	1590235718275	OK	 
USER	CrearLocalTestNegativo	60	START	1590235718297	1590235718297
REQUEST	60		Welcome	1590235718297	1590235718303	OK	 
USER	CrearLocalTestPositivo	9	START	1590235718310	1590235718310
REQUEST	9		Welcome	1590235718310	1590235718313	OK	 
USER	CrearLocalTestNegativo	61	START	1590235718341	1590235718341
REQUEST	61		Welcome	1590235718342	1590235718352	OK	 
USER	CrearLocalTestPositivo	10	START	1590235718357	1590235718357
REQUEST	10		Welcome	1590235718358	1590235718365	OK	 
USER	CrearLocalTestNegativo	62	START	1590235718377	1590235718377
REQUEST	62		Welcome	1590235718377	1590235718382	OK	 
USER	CrearLocalTestPositivo	11	START	1590235718388	1590235718388
REQUEST	11		Welcome	1590235718389	1590235718393	OK	 
USER	CrearLocalTestNegativo	63	START	1590235718419	1590235718419
REQUEST	63		Welcome	1590235718420	1590235718429	OK	 
USER	CrearLocalTestPositivo	12	START	1590235718435	1590235718435
REQUEST	12		Welcome	1590235718436	1590235718441	OK	 
USER	CrearLocalTestNegativo	64	START	1590235718466	1590235718466
USER	CrearLocalTestPositivo	13	START	1590235718467	1590235718467
REQUEST	13		Welcome	1590235718467	1590235718470	OK	 
REQUEST	64		Welcome	1590235718466	1590235718471	OK	 
USER	CrearLocalTestNegativo	65	START	1590235718498	1590235718498
REQUEST	65		Welcome	1590235718499	1590235718505	OK	 
USER	CrearLocalTestPositivo	14	START	1590235718509	1590235718509
REQUEST	14		Welcome	1590235718510	1590235718513	OK	 
USER	CrearLocalTestNegativo	66	START	1590235718542	1590235718542
REQUEST	66		Welcome	1590235718542	1590235718546	OK	 
USER	CrearLocalTestPositivo	15	START	1590235718552	1590235718552
REQUEST	15		Welcome	1590235718552	1590235718556	OK	 
USER	CrearLocalTestNegativo	67	START	1590235718585	1590235718585
USER	CrearLocalTestPositivo	16	START	1590235718587	1590235718587
REQUEST	67		Welcome	1590235718586	1590235718590	OK	 
REQUEST	16		Welcome	1590235718587	1590235718590	OK	 
USER	CrearLocalTestNegativo	68	START	1590235718617	1590235718617
REQUEST	68		Welcome	1590235718617	1590235718621	OK	 
USER	CrearLocalTestPositivo	17	START	1590235718632	1590235718632
REQUEST	17		Welcome	1590235718633	1590235718636	OK	 
USER	CrearLocalTestNegativo	69	START	1590235718664	1590235718664
USER	CrearLocalTestPositivo	18	START	1590235718667	1590235718667
REQUEST	69		Welcome	1590235718664	1590235718668	OK	 
REQUEST	18		Welcome	1590235718667	1590235718670	OK	 
USER	CrearLocalTestNegativo	70	START	1590235718697	1590235718697
REQUEST	70		Welcome	1590235718698	1590235718706	OK	 
USER	CrearLocalTestPositivo	19	START	1590235718711	1590235718711
REQUEST	19		Welcome	1590235718712	1590235718717	OK	 
USER	CrearLocalTestNegativo	71	START	1590235718742	1590235718742
USER	CrearLocalTestPositivo	20	START	1590235718747	1590235718747
REQUEST	71		Welcome	1590235718743	1590235718748	OK	 
REQUEST	20		Welcome	1590235718748	1590235718752	OK	 
USER	CrearLocalTestNegativo	72	START	1590235718777	1590235718777
REQUEST	72		Welcome	1590235718777	1590235718781	OK	 
USER	CrearLocalTestPositivo	21	START	1590235718789	1590235718789
REQUEST	21		Welcome	1590235718789	1590235718793	OK	 
USER	CrearLocalTestNegativo	73	START	1590235718820	1590235718820
REQUEST	73		Welcome	1590235718821	1590235718824	OK	 
USER	CrearLocalTestPositivo	22	START	1590235718836	1590235718836
REQUEST	22		Welcome	1590235718836	1590235718840	OK	 
USER	CrearLocalTestNegativo	74	START	1590235718867	1590235718867
USER	CrearLocalTestPositivo	23	START	1590235718867	1590235718867
REQUEST	23		Welcome	1590235718868	1590235718872	OK	 
REQUEST	74		Welcome	1590235718868	1590235718872	OK	 
USER	CrearLocalTestNegativo	75	START	1590235718897	1590235718897
REQUEST	75		Welcome	1590235718898	1590235718903	OK	 
USER	CrearLocalTestPositivo	24	START	1590235718908	1590235718908
REQUEST	24		Welcome	1590235718909	1590235718912	OK	 
USER	CrearLocalTestNegativo	76	START	1590235718941	1590235718941
REQUEST	76		Welcome	1590235718942	1590235718945	OK	 
USER	CrearLocalTestPositivo	25	START	1590235718952	1590235718952
REQUEST	25		Welcome	1590235718953	1590235718956	OK	 
USER	CrearLocalTestNegativo	77	START	1590235718978	1590235718978
REQUEST	77		Welcome	1590235718979	1590235718982	OK	 
USER	CrearLocalTestPositivo	26	START	1590235718989	1590235718989
REQUEST	26		Welcome	1590235718990	1590235718992	OK	 
USER	CrearLocalTestNegativo	78	START	1590235719021	1590235719021
REQUEST	78		Welcome	1590235719021	1590235719024	OK	 
USER	CrearLocalTestPositivo	27	START	1590235719032	1590235719032
REQUEST	27		Welcome	1590235719032	1590235719035	OK	 
USER	CrearLocalTestNegativo	79	START	1590235719057	1590235719057
REQUEST	79		Welcome	1590235719057	1590235719060	OK	 
USER	CrearLocalTestPositivo	28	START	1590235719067	1590235719067
REQUEST	28		Welcome	1590235719067	1590235719070	OK	 
USER	CrearLocalTestNegativo	80	START	1590235719098	1590235719098
REQUEST	80		Welcome	1590235719098	1590235719101	OK	 
USER	CrearLocalTestPositivo	29	START	1590235719108	1590235719108
REQUEST	29		Welcome	1590235719108	1590235719111	OK	 
USER	CrearLocalTestNegativo	81	START	1590235719140	1590235719140
REQUEST	81		Welcome	1590235719140	1590235719143	OK	 
USER	CrearLocalTestPositivo	30	START	1590235719150	1590235719150
REQUEST	30		Welcome	1590235719150	1590235719153	OK	 
USER	CrearLocalTestNegativo	82	START	1590235719181	1590235719181
REQUEST	82		Welcome	1590235719181	1590235719184	OK	 
USER	CrearLocalTestPositivo	31	START	1590235719192	1590235719192
REQUEST	31		Welcome	1590235719193	1590235719197	OK	 
USER	CrearLocalTestNegativo	83	START	1590235719218	1590235719218
REQUEST	83		Welcome	1590235719218	1590235719221	OK	 
USER	CrearLocalTestPositivo	32	START	1590235719229	1590235719229
REQUEST	32		Welcome	1590235719229	1590235719232	OK	 
USER	CrearLocalTestNegativo	84	START	1590235719262	1590235719262
REQUEST	84		Welcome	1590235719262	1590235719265	OK	 
USER	CrearLocalTestPositivo	33	START	1590235719273	1590235719273
REQUEST	33		Welcome	1590235719273	1590235719276	OK	 
USER	CrearLocalTestNegativo	85	START	1590235719298	1590235719298
REQUEST	85		Welcome	1590235719299	1590235719302	OK	 
USER	CrearLocalTestPositivo	34	START	1590235719310	1590235719310
REQUEST	34		Welcome	1590235719310	1590235719313	OK	 
USER	CrearLocalTestNegativo	86	START	1590235719341	1590235719341
REQUEST	86		Welcome	1590235719342	1590235719345	OK	 
USER	CrearLocalTestPositivo	35	START	1590235719353	1590235719353
REQUEST	35		Welcome	1590235719353	1590235719356	OK	 
USER	CrearLocalTestNegativo	87	START	1590235719377	1590235719377
REQUEST	87		Welcome	1590235719378	1590235719380	OK	 
USER	CrearLocalTestPositivo	36	START	1590235719388	1590235719388
REQUEST	36		Welcome	1590235719388	1590235719391	OK	 
USER	CrearLocalTestNegativo	88	START	1590235719420	1590235719420
REQUEST	88		Welcome	1590235719420	1590235719423	OK	 
USER	CrearLocalTestPositivo	37	START	1590235719430	1590235719430
REQUEST	37		Welcome	1590235719431	1590235719433	OK	 
USER	CrearLocalTestNegativo	89	START	1590235719461	1590235719461
REQUEST	89		Welcome	1590235719462	1590235719464	OK	 
USER	CrearLocalTestPositivo	38	START	1590235719472	1590235719472
REQUEST	38		Welcome	1590235719473	1590235719476	OK	 
USER	CrearLocalTestNegativo	90	START	1590235719497	1590235719497
REQUEST	90		Welcome	1590235719498	1590235719501	OK	 
USER	CrearLocalTestPositivo	39	START	1590235719508	1590235719508
REQUEST	39		Welcome	1590235719509	1590235719511	OK	 
USER	CrearLocalTestNegativo	91	START	1590235719544	1590235719544
USER	CrearLocalTestPositivo	40	START	1590235719547	1590235719547
REQUEST	91		Welcome	1590235719545	1590235719547	OK	 
REQUEST	40		Welcome	1590235719547	1590235719550	OK	 
USER	CrearLocalTestNegativo	92	START	1590235719577	1590235719577
REQUEST	92		Welcome	1590235719577	1590235719580	OK	 
USER	CrearLocalTestPositivo	41	START	1590235719591	1590235719591
REQUEST	41		Welcome	1590235719592	1590235719594	OK	 
USER	CrearLocalTestNegativo	93	START	1590235719623	1590235719623
USER	CrearLocalTestPositivo	42	START	1590235719627	1590235719627
REQUEST	93		Welcome	1590235719623	1590235719627	OK	 
REQUEST	42		Welcome	1590235719627	1590235719630	OK	 
USER	CrearLocalTestNegativo	94	START	1590235719657	1590235719657
REQUEST	94		Welcome	1590235719657	1590235719661	OK	 
USER	CrearLocalTestPositivo	43	START	1590235719670	1590235719670
REQUEST	43		Welcome	1590235719670	1590235719674	OK	 
USER	CrearLocalTestNegativo	95	START	1590235719701	1590235719701
REQUEST	95		Welcome	1590235719701	1590235719705	OK	 
USER	CrearLocalTestPositivo	44	START	1590235719716	1590235719716
REQUEST	44		Welcome	1590235719717	1590235719719	OK	 
USER	CrearLocalTestNegativo	96	START	1590235719737	1590235719737
REQUEST	96		Welcome	1590235719737	1590235719740	OK	 
USER	CrearLocalTestPositivo	45	START	1590235719748	1590235719748
REQUEST	45		Welcome	1590235719748	1590235719751	OK	 
USER	CrearLocalTestNegativo	97	START	1590235719779	1590235719779
REQUEST	97		Welcome	1590235719780	1590235719783	OK	 
USER	CrearLocalTestPositivo	46	START	1590235719795	1590235719795
REQUEST	46		Welcome	1590235719796	1590235719799	OK	 
USER	CrearLocalTestNegativo	98	START	1590235719842	1590235719842
USER	CrearLocalTestPositivo	47	START	1590235719842	1590235719842
REQUEST	47		Welcome	1590235719842	1590235719845	OK	 
REQUEST	98		Welcome	1590235719842	1590235719845	OK	 
USER	CrearLocalTestNegativo	99	START	1590235719857	1590235719857
REQUEST	99		Welcome	1590235719858	1590235719860	OK	 
USER	CrearLocalTestPositivo	48	START	1590235719873	1590235719873
REQUEST	48		Welcome	1590235719873	1590235719876	OK	 
USER	CrearLocalTestNegativo	100	START	1590235719904	1590235719904
USER	CrearLocalTestPositivo	49	START	1590235719907	1590235719907
REQUEST	100		Welcome	1590235719904	1590235719907	OK	 
REQUEST	49		Welcome	1590235719907	1590235719910	OK	 
USER	CrearLocalTestNegativo	101	START	1590235719937	1590235719937
REQUEST	101		Welcome	1590235719938	1590235719942	OK	 
USER	CrearLocalTestPositivo	50	START	1590235719966	1590235719966
REQUEST	50		Welcome	1590235719967	1590235719969	OK	 
USER	CrearLocalTestNegativo	102	START	1590235719982	1590235719982
