RUN	dp2.CrearLocalTest	crearlocaltest	1590231913789	 	3.3.1
USER	CrearLocalTestNegativo	2	START	1590231914734	1590231914734
USER	CrearLocalTestPositivo	1	START	1590231914734	1590231914734
REQUEST	1		Welcome	1590231914760	1590231914780	OK	 
REQUEST	2		Welcome	1590231914760	1590231914780	OK	 
REQUEST	2		Login	1590231924801	1590231924803	OK	 
REQUEST	1		Login	1590231924801	1590231924804	OK	 
REQUEST	2		Logged	1590231946804	1590231946807	OK	 
REQUEST	1		Logged	1590231946804	1590231946807	OK	 
REQUEST	1		Logged Redirect 1	1590231946811	1590231946820	OK	 
REQUEST	2		Logged Redirect 1	1590231946811	1590231946822	OK	 
REQUEST	2		MyLocales	1590231972835	1590231972842	OK	 
REQUEST	1		MyLocales	1590231972835	1590231972842	OK	 
REQUEST	1		FormLocal	1590231983825	1590231983836	OK	 
REQUEST	2		FormLocal	1590231983825	1590231983836	OK	 
REQUEST	1		LocalCreated	1590232014853	1590232014860	OK	 
REQUEST	1		LocalCreated Redirect 1	1590232014860	1590232014865	OK	 
REQUEST	2		FieldsEmpty	1590232014854	1590232014867	OK	 
USER	CrearLocalTestNegativo	2	END	1590231914734	1590232021866
USER	CrearLocalTestPositivo	1	END	1590231914734	1590232056860
