ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	CrearValoraciones	crearvaloraciones	1590567396266	 	3.3.1
USER	CrearValoracion	1	START	1590567397619	1590567397619
USER	AceptarLocal	2	START	1590567397620	1590567397620
REQUEST	1		Home	1590567397653	1590567397687	OK	 
REQUEST	2		Home	1590567397653	1590567397687	OK	 
REQUEST	1		Login	1590567402699	1590567402700	OK	 
REQUEST	2		Login	1590567402699	1590567402700	OK	 
REQUEST	2		LoggedAdmin	1590567422723	1590567422729	OK	 
REQUEST	1		LoggedCliente	1590567422723	1590567422729	OK	 
REQUEST	2		LoggedAdmin Redirect 1	1590567422733	1590567422740	OK	 
REQUEST	1		LoggedCliente Redirect 1	1590567422733	1590567422740	OK	 
REQUEST	2		GetLocales	1590567439733	1590567439739	OK	 
REQUEST	2		detalleLocal	1590567459748	1590567459757	OK	 
REQUEST	2		AceptarLocal	1590567472740	1590567472743	OK	 
REQUEST	2		AceptarLocal Redirect 1	1590567472743	1590567472749	OK	 
REQUEST	2		Logout	1590567478759	1590567478760	OK	 
REQUEST	2		CofirmLogout	1590567488772	1590567488775	OK	 
REQUEST	2		CofirmLogout Redirect 1	1590567488776	1590567488781	OK	 
USER	AceptarLocal	2	END	1590567397620	1590567514785
REQUEST	1		misAsistencias	1590567564738	1590567564750	OK	 
REQUEST	1		verFiesta	1590567572740	1590567572748	OK	 
REQUEST	1		Valorar	1590567580766	1590567580771	OK	 
REQUEST	1		Valorar Redirect 1	1590567580772	1590567580779	OK	 
REQUEST	1		Logout	1590567600766	1590567600767	OK	 
REQUEST	1		CofirmLogout	1590567610780	1590567610781	OK	 
REQUEST	1		CofirmLogout Redirect 1	1590567610782	1590567610789	OK	 
USER	CrearValoracion	1	END	1590567397619	1590567636798
