ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	CrearValoraciones	crearvaloraciones	1590567675602	 	3.3.1
USER	CrearValoracion	1	START	1590567676296	1590567676296
USER	AceptarLocal	406	START	1590567676336	1590567676336
USER	CrearValoracion	5	START	1590567676330	1590567676330
USER	CrearValoracion	6	START	1590567676334	1590567676334
USER	AceptarLocal	408	START	1590567676337	1590567676337
USER	AceptarLocal	405	START	1590567676333	1590567676333
USER	CrearValoracion	4	START	1590567676324	1590567676324
USER	AceptarLocal	411	START	1590567676338	1590567676338
USER	AceptarLocal	403	START	1590567676327	1590567676327
USER	AceptarLocal	404	START	1590567676330	1590567676330
USER	CrearValoracion	2	START	1590567676296	1590567676296
USER	CrearValoracion	7	START	1590567676335	1590567676335
USER	AceptarLocal	407	START	1590567676336	1590567676336
USER	CrearValoracion	3	START	1590567676296	1590567676296
USER	AceptarLocal	410	START	1590567676339	1590567676339
USER	AceptarLocal	409	START	1590567676338	1590567676338
USER	CrearValoracion	8	START	1590567676344	1590567676344
USER	AceptarLocal	412	START	1590567676345	1590567676345
USER	CrearValoracion	9	START	1590567676344	1590567676344
USER	AceptarLocal	413	START	1590567676346	1590567676346
USER	CrearValoracion	10	START	1590567676363	1590567676363
USER	AceptarLocal	414	START	1590567676363	1590567676363
USER	CrearValoracion	12	START	1590567676363	1590567676363
USER	CrearValoracion	13	START	1590567676364	1590567676364
USER	AceptarLocal	417	START	1590567676364	1590567676364
USER	AceptarLocal	415	START	1590567676363	1590567676363
USER	AceptarLocal	416	START	1590567676364	1590567676364
USER	CrearValoracion	11	START	1590567676363	1590567676363
USER	CrearValoracion	14	START	1590567676373	1590567676373
USER	CrearValoracion	15	START	1590567676373	1590567676373
USER	AceptarLocal	418	START	1590567676374	1590567676374
USER	AceptarLocal	419	START	1590567676375	1590567676375
USER	CrearValoracion	17	START	1590567676399	1590567676399
USER	CrearValoracion	16	START	1590567676396	1590567676396
USER	AceptarLocal	420	START	1590567676405	1590567676405
USER	AceptarLocal	421	START	1590567676406	1590567676406
USER	CrearValoracion	18	START	1590567676406	1590567676406
USER	AceptarLocal	422	START	1590567676406	1590567676406
USER	CrearValoracion	19	START	1590567676406	1590567676406
USER	AceptarLocal	423	START	1590567676407	1590567676407
USER	CrearValoracion	21	START	1590567676407	1590567676407
USER	CrearValoracion	20	START	1590567676407	1590567676407
USER	AceptarLocal	424	START	1590567676407	1590567676407
USER	AceptarLocal	425	START	1590567676407	1590567676407
REQUEST	416		Home	1590567676365	1590567676384	OK	 
REQUEST	14		Home	1590567676374	1590567676385	OK	 
REQUEST	407		Home	1590567676346	1590567676384	OK	 
REQUEST	13		Home	1590567676364	1590567676412	OK	 
REQUEST	10		Home	1590567676364	1590567676384	OK	 
REQUEST	411		Home	1590567676342	1590567676392	OK	 
REQUEST	412		Home	1590567676346	1590567676399	OK	 
REQUEST	1		Home	1590567676340	1590567676406	OK	 
USER	CrearValoracion	22	START	1590567676416	1590567676416
USER	CrearValoracion	23	START	1590567676416	1590567676416
USER	AceptarLocal	426	START	1590567676417	1590567676417
USER	AceptarLocal	427	START	1590567676417	1590567676417
REQUEST	409		Home	1590567676340	1590567676419	OK	 
USER	AceptarLocal	429	START	1590567676427	1590567676427
USER	AceptarLocal	428	START	1590567676427	1590567676427
USER	CrearValoracion	24	START	1590567676424	1590567676424
USER	CrearValoracion	25	START	1590567676433	1590567676433
REQUEST	8		Home	1590567676346	1590567676432	OK	 
REQUEST	15		Home	1590567676374	1590567676435	OK	 
USER	CrearValoracion	28	START	1590567676442	1590567676442
USER	CrearValoracion	27	START	1590567676442	1590567676442
USER	AceptarLocal	432	START	1590567676443	1590567676443
USER	CrearValoracion	29	START	1590567676443	1590567676443
USER	AceptarLocal	431	START	1590567676442	1590567676442
USER	AceptarLocal	430	START	1590567676442	1590567676442
USER	CrearValoracion	26	START	1590567676442	1590567676442
REQUEST	406		Home	1590567676342	1590567676443	OK	 
USER	AceptarLocal	433	START	1590567676443	1590567676443
REQUEST	418		Home	1590567676375	1590567676448	OK	 
REQUEST	5		Home	1590567676340	1590567676448	OK	 
REQUEST	403		Home	1590567676342	1590567676450	OK	 
REQUEST	4		Home	1590567676340	1590567676452	OK	 
USER	CrearValoracion	31	START	1590567676462	1590567676462
USER	AceptarLocal	434	START	1590567676462	1590567676462
USER	CrearValoracion	30	START	1590567676462	1590567676462
USER	CrearValoracion	32	START	1590567676464	1590567676464
USER	CrearValoracion	33	START	1590567676464	1590567676464
USER	AceptarLocal	435	START	1590567676463	1590567676463
USER	AceptarLocal	436	START	1590567676465	1590567676465
USER	AceptarLocal	437	START	1590567676466	1590567676466
USER	AceptarLocal	438	START	1590567676471	1590567676471
USER	CrearValoracion	35	START	1590567676471	1590567676471
USER	AceptarLocal	439	START	1590567676471	1590567676471
USER	CrearValoracion	34	START	1590567676471	1590567676471
USER	CrearValoracion	37	START	1590567676497	1590567676497
USER	CrearValoracion	36	START	1590567676497	1590567676497
USER	AceptarLocal	441	START	1590567676498	1590567676498
USER	CrearValoracion	39	START	1590567676498	1590567676498
USER	AceptarLocal	442	START	1590567676498	1590567676498
USER	AceptarLocal	443	START	1590567676499	1590567676499
USER	AceptarLocal	440	START	1590567676497	1590567676497
USER	CrearValoracion	38	START	1590567676498	1590567676498
USER	CrearValoracion	41	START	1590567676501	1590567676501
USER	AceptarLocal	444	START	1590567676501	1590567676501
USER	AceptarLocal	445	START	1590567676502	1590567676502
USER	CrearValoracion	40	START	1590567676501	1590567676501
USER	CrearValoracion	43	START	1590567676517	1590567676517
