ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	EditarFiesta	editarfiesta	1591037837613	 	3.3.1
USER	EditarFiesta	1	START	1591037838319	1591037838319
USER	AceptarLocal	2	START	1591037838320	1591037838320
REQUEST	2		Home	1591037838352	1591037838373	OK	 
REQUEST	1		Home	1591037838352	1591037838373	OK	 
REQUEST	1		Login	1591037843392	1591037843394	OK	 
REQUEST	2		Login	1591037843392	1591037843394	OK	 
REQUEST	1		LoggedCliente	1591037863410	1591037863416	OK	 
REQUEST	2		LoggedAdmin	1591037863410	1591037863416	OK	 
REQUEST	2		LoggedAdmin Redirect 1	1591037863428	1591037863443	OK	 
REQUEST	1		LoggedCliente Redirect 1	1591037863428	1591037863443	OK	 
REQUEST	2		GetLocales	1591037880441	1591037880448	OK	 
REQUEST	2		detalleLocal	1591037900463	1591037900470	OK	 
REQUEST	2		AceptarLocal	1591037913475	1591037913477	OK	 
REQUEST	2		AceptarLocal Redirect 1	1591037913478	1591037913484	OK	 
REQUEST	2		Logout	1591037919474	1591037919476	OK	 
REQUEST	2		CofirmLogout	1591037929471	1591037929474	OK	 
REQUEST	2		CofirmLogout Redirect 1	1591037929474	1591037929479	OK	 
USER	AceptarLocal	2	END	1591037838320	1591037955492
REQUEST	1		DetalleFiesta	1591038005441	1591038005561	OK	 
REQUEST	1		GetEditarFiesta	1591038020576	1591038020621	OK	 
REQUEST	1		PostEditarFiesta	1591038040613	1591038040619	OK	 
REQUEST	1		PostEditarFiesta Redirect 1	1591038040620	1591038040737	OK	 
REQUEST	1		Logout	1591038049733	1591038049735	OK	 
REQUEST	1		CofirmLogout	1591038059741	1591038059743	OK	 
REQUEST	1		CofirmLogout Redirect 1	1591038059743	1591038059750	OK	 
USER	EditarFiesta	1	END	1591037838319	1591038085763
