RUN	propietarioAnuncio.ListarYDetallesAnuncio	listarydetallesanuncio	1590328946287	 	3.3.1
USER	ListarYDetallesAnuncioError	2	START	1590328947692	1590328947692
USER	ListarYDetallesAnuncio	1	START	1590328947690	1590328947690
REQUEST	2		Home	1590328947739	1590328947773	OK	 
REQUEST	1		Home	1590328947739	1590328947776	OK	 
REQUEST	2		Loggin	1590328953795	1590328953796	OK	 
REQUEST	1		Loggin	1590328953795	1590328953796	OK	 
REQUEST	2		request_2	1590328953826	1590328953828	OK	 
REQUEST	1		request_2	1590328953826	1590328953828	OK	 
REQUEST	2		LoggedCliente	1590328972843	1590328972846	OK	 
REQUEST	1		loggedPatrocinador	1590328972843	1590328972846	OK	 
REQUEST	2		LoggedCliente Redirect 1	1590328972852	1590328972853	OK	 
REQUEST	1		loggedPatrocinador Redirect 1	1590328972852	1590328972853	OK	 
REQUEST	1		ListAnuncios	1590328991865	1590328991866	OK	 
REQUEST	1		ListAnuncios Redirect 1	1590328991867	1590328991869	OK	 
REQUEST	1		DetallesAnuncios	1590329008858	1590329008860	OK	 
REQUEST	2		ErrorVerAnuncio	1590329008858	1590329008859	OK	 
REQUEST	1		DetallesAnuncios Redirect 1	1590329008860	1590329008861	OK	 
REQUEST	2		ErrorVerAnuncio Redirect 1	1590329008860	1590329008861	OK	 
USER	ListarYDetallesAnuncioError	2	END	1590328947692	1590329039847
USER	ListarYDetallesAnuncio	1	END	1590328947690	1590329039860
