ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.SolicitarAsistenciaFiesta	solicitarasistenciafiesta	1590259455398	 	3.3.1
USER	SolicitarAsistenciaFiestaCorrecto	1	START	1590259456600	1590259456600
USER	SolicitarAsistenciaFiestaError	2	START	1590259456600	1590259456600
REQUEST	2		Home	1590259456629	1590259456660	OK	 
REQUEST	1		Home	1590259456629	1590259456660	OK	 
REQUEST	1		Login	1590259464683	1590259464693	OK	 
REQUEST	2		Login	1590259464683	1590259464693	OK	 
REQUEST	2		request_2	1590259464747	1590259464751	OK	 
REQUEST	1		request_2	1590259464747	1590259464751	OK	 
REQUEST	2		Logged	1590259470767	1590259470783	OK	 
REQUEST	1		Logged	1590259470767	1590259470782	OK	 
REQUEST	1		Logged Redirect 1	1590259470793	1590259470797	OK	 
REQUEST	2		Logged Redirect 1	1590259470793	1590259470797	OK	 
REQUEST	2		VerDetallesFiesta	1590259488791	1590259488849	OK	 
REQUEST	1		VerDetallesFiesta	1590259488791	1590259488849	OK	 
REQUEST	2		SolicitarAsistenciaMiFiestaError	1590259506863	1590259506889	OK	 
REQUEST	1		SolicitarAsistenciaMiFiestaCorrecto	1590259506863	1590259506889	OK	 
REQUEST	2		SolicitarAsistenciaMiFiestaError Redirect 1	1590259506892	1590259506898	OK	 
REQUEST	1		SolicitarAsistenciaMiFiestaCorrecto Redirect 1	1590259506892	1590259506898	OK	 
USER	SolicitarAsistenciaFiestaError	2	END	1590259456600	1590259526909
USER	SolicitarAsistenciaFiestaCorrecto	1	END	1590259456600	1590259533899
