ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590924299230	 	3.3.1
USER	VerDashboardPositivo	1	START	1590924300118	1590924300118
USER	VerDashboardNegativo	2	START	1590924300119	1590924300119
REQUEST	1		Home	1590924300145	1590924300174	OK	 
REQUEST	2		Home	1590924300145	1590924300174	OK	 
REQUEST	1		Login	1590924309199	1590924309205	OK	 
REQUEST	2		dashboard2	1590924309199	1590924309216	OK	 
REQUEST	2		dashboard2 Redirect 1	1590924309221	1590924309224	OK	 
USER	VerDashboardNegativo	2	END	1590924300119	1590924309228
REQUEST	1		Logged	1590924325208	1590924325211	OK	 
REQUEST	1		Logged Redirect 1	1590924325212	1590924325213	OK	 
REQUEST	1		dashboard	1590924340209	1590924340212	OK	 
REQUEST	1		dashboard Redirect 1	1590924340213	1590924340214	OK	 
USER	VerDashboardPositivo	1	END	1590924300118	1590924346216
