ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851688957	 	3.3.1
USER	VerDashboardNegativo	42	START	1590851689849	1590851689849
USER	VerDashboardPositivo	1	START	1590851689836	1590851689836
USER	VerDashboardPositivo	2	START	1590851689895	1590851689895
USER	VerDashboardNegativo	43	START	1590851689895	1590851689895
REQUEST	42		Home	1590851689874	1590851689896	OK	 
REQUEST	43		Home	1590851689896	1590851689903	OK	 
REQUEST	1		Home	1590851689874	1590851689896	OK	 
REQUEST	2		Home	1590851689896	1590851689903	OK	 
USER	VerDashboardNegativo	44	START	1590851689942	1590851689942
USER	VerDashboardPositivo	3	START	1590851689942	1590851689942
REQUEST	3		Home	1590851689943	1590851689949	OK	 
REQUEST	44		Home	1590851689943	1590851689949	OK	 
USER	VerDashboardNegativo	45	START	1590851689990	1590851689990
REQUEST	45		Home	1590851689990	1590851689996	OK	 
USER	VerDashboardPositivo	4	START	1590851690001	1590851690001
REQUEST	4		Home	1590851690002	1590851690007	OK	 
USER	VerDashboardNegativo	46	START	1590851690044	1590851690044
REQUEST	46		Home	1590851690044	1590851690049	OK	 
USER	VerDashboardPositivo	5	START	1590851690055	1590851690055
REQUEST	5		Home	1590851690055	1590851690062	OK	 
USER	VerDashboardNegativo	47	START	1590851690092	1590851690092
REQUEST	47		Home	1590851690092	1590851690097	OK	 
USER	VerDashboardPositivo	6	START	1590851690103	1590851690103
REQUEST	6		Home	1590851690103	1590851690108	OK	 
USER	VerDashboardNegativo	48	START	1590851690146	1590851690146
USER	VerDashboardPositivo	7	START	1590851690150	1590851690150
REQUEST	48		Home	1590851690146	1590851690150	OK	 
REQUEST	7		Home	1590851690150	1590851690156	OK	 
USER	VerDashboardNegativo	49	START	1590851690191	1590851690191
REQUEST	49		Home	1590851690192	1590851690195	OK	 
USER	VerDashboardPositivo	8	START	1590851690202	1590851690202
REQUEST	8		Home	1590851690202	1590851690206	OK	 
USER	VerDashboardNegativo	50	START	1590851690243	1590851690243
REQUEST	50		Home	1590851690244	1590851690247	OK	 
USER	VerDashboardPositivo	9	START	1590851690254	1590851690254
REQUEST	9		Home	1590851690255	1590851690259	OK	 
USER	VerDashboardNegativo	51	START	1590851690290	1590851690290
REQUEST	51		Home	1590851690290	1590851690294	OK	 
USER	VerDashboardPositivo	10	START	1590851690300	1590851690300
REQUEST	10		Home	1590851690300	1590851690304	OK	 
USER	VerDashboardNegativo	52	START	1590851690343	1590851690343
REQUEST	52		Home	1590851690343	1590851690346	OK	 
