ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	VerFiestasQueAsistoTest	verfiestasqueasistotest	1590262739038	 	3.3.1
USER	VerFiestasQueAsistoPositivo	1	START	1590262739913	1590262739913
USER	VerFiestasQueAsistoNegativo	22	START	1590262739922	1590262739922
REQUEST	1		Home	1590262739942	1590262739963	OK	 
REQUEST	22		Home	1590262739942	1590262739963	OK	 
USER	VerFiestasQueAsistoNegativo	23	START	1590262740024	1590262740024
USER	VerFiestasQueAsistoPositivo	2	START	1590262740024	1590262740024
REQUEST	23		Home	1590262740025	1590262740030	OK	 
REQUEST	2		Home	1590262740025	1590262740030	OK	 
REQUEST	1		favicon.png	1590262740043	1590262740051	OK	 
REQUEST	23		favicon.png	1590262740043	1590262740051	OK	 
REQUEST	22		favicon.png	1590262740043	1590262740052	OK	 
REQUEST	2		favicon.png	1590262740043	1590262740051	OK	 
REQUEST	1		petclinic.css	1590262740043	1590262740070	OK	 
REQUEST	23		jquery-ui.min.css	1590262740044	1590262740071	OK	 
REQUEST	2		jquery-ui.min.css	1590262740044	1590262740071	OK	 
REQUEST	22		jquery-ui.theme.min.css	1590262740045	1590262740086	OK	 
REQUEST	23		jquery-ui.min.js	1590262740068	1590262740112	OK	 
REQUEST	23		petclinic.css	1590262740043	1590262740114	OK	 
REQUEST	2		jquery-ui.theme.min.css	1590262740045	1590262740115	OK	 
REQUEST	1		jquery.min.js	1590262740046	1590262740116	OK	 
REQUEST	2		spring-pivotal-logo.png	1590262740045	1590262740117	OK	 
REQUEST	1		jquery-ui.min.js	1590262740068	1590262740118	OK	 
REQUEST	23		jquery-ui.theme.min.css	1590262740045	1590262740120	OK	 
REQUEST	22		jquery-ui.min.js	1590262740068	1590262740120	OK	 
REQUEST	1		jquery-ui.min.css	1590262740045	1590262740120	OK	 
REQUEST	23		spring-pivotal-logo.png	1590262740045	1590262740127	OK	 
REQUEST	1		jquery-ui.theme.min.css	1590262740045	1590262740129	OK	 
USER	VerFiestasQueAsistoPositivo	3	START	1590262740128	1590262740128
REQUEST	23		jquery.min.js	1590262740045	1590262740130	OK	 
REQUEST	2		jquery-ui.min.js	1590262740068	1590262740130	OK	 
REQUEST	23		bootstrap.min.js	1590262740109	1590262740130	OK	 
USER	VerFiestasQueAsistoNegativo	24	START	1590262740129	1590262740129
REQUEST	22		petclinic.css	1590262740043	1590262740131	OK	 
REQUEST	2		petclinic.css	1590262740043	1590262740131	OK	 
REQUEST	1		spring-pivotal-logo.png	1590262740046	1590262740132	OK	 
REQUEST	22		jquery-ui.min.css	1590262740045	1590262740134	OK	 
REQUEST	1		bootstrap.min.js	1590262740115	1590262740134	OK	 
REQUEST	2		jquery.min.js	1590262740045	1590262740138	OK	 
REQUEST	2		bootstrap.min.js	1590262740112	1590262740140	OK	 
REQUEST	22		spring-pivotal-logo.png	1590262740045	1590262740137	OK	 
REQUEST	3		Home	1590262740129	1590262740144	OK	 
REQUEST	22		jquery.min.js	1590262740046	1590262740144	OK	 
REQUEST	24		Home	1590262740129	1590262740148	OK	 
REQUEST	22		bootstrap.min.js	1590262740113	1590262740151	OK	 
REQUEST	3		favicon.png	1590262740151	1590262740163	OK	 
REQUEST	24		favicon.png	1590262740153	1590262740164	OK	 
REQUEST	3		petclinic.css	1590262740152	1590262740166	OK	 
REQUEST	3		spring-pivotal-logo.png	1590262740154	1590262740169	OK	 
REQUEST	24		petclinic.css	1590262740155	1590262740170	OK	 
REQUEST	24		spring-pivotal-logo.png	1590262740157	1590262740173	OK	 
REQUEST	3		jquery-ui.theme.min.css	1590262740153	1590262740175	OK	 
REQUEST	24		jquery.min.js	1590262740158	1590262740178	OK	 
REQUEST	3		jquery.min.js	1590262740154	1590262740178	OK	 
REQUEST	24		bootstrap.min.js	1590262740172	1590262740179	OK	 
REQUEST	3		bootstrap.min.js	1590262740168	1590262740181	OK	 
REQUEST	24		jquery-ui.theme.min.css	1590262740156	1590262740182	OK	 
REQUEST	3		jquery-ui.min.css	1590262740152	1590262740182	OK	 
REQUEST	3		jquery-ui.min.js	1590262740164	1590262740184	OK	 
REQUEST	24		jquery-ui.min.js	1590262740165	1590262740185	OK	 
REQUEST	24		jquery-ui.min.css	1590262740155	1590262740186	OK	 
REQUEST	22		jquery.min.js	1590262740024	1590262740205	OK	 
USER	VerFiestasQueAsistoNegativo	25	START	1590262740222	1590262740222
REQUEST	25		Home	1590262740223	1590262740229	OK	 
USER	VerFiestasQueAsistoPositivo	4	START	1590262740233	1590262740233
REQUEST	25		favicon.png	1590262740232	1590262740238	OK	 
REQUEST	2		jquery.min.js	1590262740035	1590262740238	OK	 
REQUEST	23		jquery.min.js	1590262740035	1590262740238	OK	 
REQUEST	25		jquery-ui.min.css	1590262740233	1590262740242	OK	 
REQUEST	25		spring-pivotal-logo.png	1590262740234	1590262740244	OK	 
REQUEST	25		petclinic.css	1590262740233	1590262740246	OK	 
REQUEST	25		jquery-ui.theme.min.css	1590262740234	1590262740249	OK	 
REQUEST	4		Home	1590262740234	1590262740250	OK	 
REQUEST	25		jquery.min.js	1590262740235	1590262740250	OK	 
REQUEST	25		jquery-ui.min.js	1590262740238	1590262740251	OK	 
REQUEST	25		bootstrap.min.js	1590262740244	1590262740252	OK	 
REQUEST	4		favicon.png	1590262740253	1590262740257	OK	 
REQUEST	4		spring-pivotal-logo.png	1590262740255	1590262740261	OK	 
REQUEST	4		jquery-ui.min.js	1590262740258	1590262740263	OK	 
REQUEST	1		jquery.min.js	1590262740024	1590262740263	OK	 
REQUEST	4		petclinic.css	1590262740254	1590262740264	OK	 
REQUEST	4		jquery-ui.min.css	1590262740254	1590262740265	OK	 
REQUEST	4		jquery-ui.theme.min.css	1590262740255	1590262740266	OK	 
REQUEST	4		jquery.min.js	1590262740255	1590262740267	OK	 
REQUEST	4		bootstrap.min.js	1590262740262	1590262740268	OK	 
REQUEST	24		jquery.min.js	1590262740152	1590262740298	OK	 
REQUEST	3		jquery.min.js	1590262740150	1590262740307	OK	 
