ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	VerFiestasQueAsistoTest	verfiestasqueasistotest	1590924455315	 	3.3.1
USER	VerFiestasQueAsistoPositivo	1	START	1590924456186	1590924456186
USER	VerFiestasQueAsistoNegativo	2	START	1590924456187	1590924456187
REQUEST	1		Home	1590924456209	1590924456241	OK	 
REQUEST	2		Home	1590924456209	1590924456241	OK	 
REQUEST	2		Login	1590924465262	1590924465264	OK	 
REQUEST	1		Login	1590924465262	1590924465264	OK	 
REQUEST	1		Logged	1590924481267	1590924481269	OK	 
REQUEST	2		Logged	1590924481267	1590924481269	OK	 
REQUEST	1		Logged Redirect 1	1590924481273	1590924481275	OK	 
REQUEST	2		Logged Redirect 1	1590924481273	1590924481275	OK	 
REQUEST	1		ListAsistenciasFiestas	1590924496283	1590924496285	OK	 
REQUEST	2		ListAsistenciasFiestas	1590924496283	1590924496285	OK	 
REQUEST	1		ListAsistenciasFiestas Redirect 1	1590924496286	1590924496287	OK	 
REQUEST	2		ListAsistenciasFiestas Redirect 1	1590924496285	1590924496287	OK	 
REQUEST	2		request_5	1590924526287	1590924526477	OK	 
REQUEST	1		ShowFiesta	1590924526287	1590924526797	OK	 
USER	VerFiestasQueAsistoNegativo	2	END	1590924456187	1590924537478
USER	VerFiestasQueAsistoPositivo	1	END	1590924456186	1590924544792
