RUN	dp2.VerFiestasYLocalesTest	verfiestasylocalestest	1590229522459	 	3.3.1
USER	VerFiestasYLocalesTestNegativo	2	START	1590229523623	1590229523623
USER	VerFiestasYLocalesTestPositivo	1	START	1590229523623	1590229523623
REQUEST	1		Welcome	1590229523661	1590229523694	OK	 
REQUEST	2		Welcome	1590229523661	1590229523694	OK	 
REQUEST	2		LocalForbidden	1590229534719	1590229534733	OK	 
REQUEST	1		ShowFiesta	1590229534719	1590229534740	OK	 
REQUEST	1		Welcome	1590229544728	1590229544737	OK	 
REQUEST	1		ShowLocal	1590229555750	1590229555771	OK	 
REQUEST	2		FiestaForbidden	1590229565728	1590229565740	OK	 
USER	VerFiestasYLocalesTestNegativo	2	END	1590229523623	1590229578742
USER	VerFiestasYLocalesTestPositivo	1	END	1590229523623	1590229578760
