ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMensajesTest	vermensajestest	1590958749112	 	3.3.1
USER	VerMensajeTestPositivo	1	START	1590958749940	1590958749940
USER	VerMensajesTestNegativo	83	START	1590958749966	1590958749966
USER	VerMensajeTestPositivo	2	START	1590958749966	1590958749966
USER	VerMensajesTestNegativo	82	START	1590958749952	1590958749952
USER	VerMensajesTestNegativo	84	START	1590958749995	1590958749995
USER	VerMensajeTestPositivo	3	START	1590958749996	1590958749996
REQUEST	82		Welcome	1590958749966	1590958749981	OK	 
REQUEST	83		Welcome	1590958749967	1590958749981	OK	 
REQUEST	2		Welcome	1590958749967	1590958749981	OK	 
REQUEST	84		Welcome	1590958749996	1590958750000	OK	 
REQUEST	1		Welcome	1590958749966	1590958749981	OK	 
REQUEST	3		Welcome	1590958749996	1590958750000	OK	 
USER	VerMensajeTestPositivo	4	START	1590958750018	1590958750018
USER	VerMensajesTestNegativo	85	START	1590958750018	1590958750018
REQUEST	85		Welcome	1590958750018	1590958750023	OK	 
REQUEST	4		Welcome	1590958750018	1590958750023	OK	 
USER	VerMensajesTestNegativo	86	START	1590958750040	1590958750040
REQUEST	86		Welcome	1590958750041	1590958750046	OK	 
USER	VerMensajeTestPositivo	5	START	1590958750050	1590958750050
REQUEST	5		Welcome	1590958750050	1590958750054	OK	 
USER	VerMensajesTestNegativo	87	START	1590958750072	1590958750072
REQUEST	87		Welcome	1590958750072	1590958750076	OK	 
USER	VerMensajeTestPositivo	6	START	1590958750076	1590958750076
REQUEST	6		Welcome	1590958750077	1590958750081	OK	 
USER	VerMensajesTestNegativo	88	START	1590958750086	1590958750086
REQUEST	88		Welcome	1590958750087	1590958750089	OK	 
USER	VerMensajeTestPositivo	7	START	1590958750107	1590958750107
REQUEST	7		Welcome	1590958750107	1590958750110	OK	 
USER	VerMensajesTestNegativo	89	START	1590958750118	1590958750118
REQUEST	89		Welcome	1590958750118	1590958750121	OK	 
USER	VerMensajeTestPositivo	8	START	1590958750129	1590958750129
REQUEST	8		Welcome	1590958750129	1590958750132	OK	 
USER	VerMensajesTestNegativo	90	START	1590958750140	1590958750140
REQUEST	90		Welcome	1590958750141	1590958750149	OK	 
USER	VerMensajeTestPositivo	9	START	1590958750161	1590958750161
REQUEST	9		Welcome	1590958750161	1590958750165	OK	 
USER	VerMensajesTestNegativo	91	START	1590958750171	1590958750171
REQUEST	91		Welcome	1590958750172	1590958750175	OK	 
USER	VerMensajeTestPositivo	10	START	1590958750176	1590958750176
REQUEST	10		Welcome	1590958750177	1590958750179	OK	 
USER	VerMensajesTestNegativo	92	START	1590958750186	1590958750186
REQUEST	92		Welcome	1590958750187	1590958750190	OK	 
USER	VerMensajeTestPositivo	11	START	1590958750208	1590958750208
REQUEST	11		Welcome	1590958750208	1590958750210	OK	 
USER	VerMensajesTestNegativo	93	START	1590958750218	1590958750218
REQUEST	93		Welcome	1590958750218	1590958750221	OK	 
USER	VerMensajeTestPositivo	12	START	1590958750228	1590958750228
REQUEST	12		Welcome	1590958750229	1590958750231	OK	 
USER	VerMensajesTestNegativo	94	START	1590958750239	1590958750239
REQUEST	94		Welcome	1590958750239	1590958750242	OK	 
USER	VerMensajeTestPositivo	13	START	1590958750256	1590958750256
REQUEST	13		Welcome	1590958750256	1590958750259	OK	 
USER	VerMensajesTestNegativo	95	START	1590958750267	1590958750267
REQUEST	95		Welcome	1590958750267	1590958750270	OK	 
USER	VerMensajeTestPositivo	14	START	1590958750277	1590958750277
REQUEST	14		Welcome	1590958750277	1590958750279	OK	 
USER	VerMensajesTestNegativo	96	START	1590958750288	1590958750288
REQUEST	96		Welcome	1590958750288	1590958750290	OK	 
USER	VerMensajeTestPositivo	15	START	1590958750310	1590958750310
REQUEST	15		Welcome	1590958750310	1590958750312	OK	 
USER	VerMensajesTestNegativo	97	START	1590958750320	1590958750320
REQUEST	97		Welcome	1590958750320	1590958750323	OK	 
USER	VerMensajeTestPositivo	16	START	1590958750330	1590958750330
REQUEST	16		Welcome	1590958750331	1590958750334	OK	 
USER	VerMensajesTestNegativo	98	START	1590958750341	1590958750341
REQUEST	98		Welcome	1590958750341	1590958750344	OK	 
USER	VerMensajeTestPositivo	17	START	1590958750361	1590958750361
REQUEST	17		Welcome	1590958750362	1590958750364	OK	 
USER	VerMensajesTestNegativo	99	START	1590958750366	1590958750366
REQUEST	99		Welcome	1590958750366	1590958750369	OK	 
USER	VerMensajeTestPositivo	18	START	1590958750376	1590958750376
REQUEST	18		Welcome	1590958750376	1590958750379	OK	 
