RUN	dp2.VerMensajesTest	vermensajestest	1590956435946	 	3.3.1
USER	VerMensajeTestPositivo	1	START	1590956436803	1590956436803
USER	VerMensajesTestNegativo	2	START	1590956436803	1590956436803
REQUEST	1		Welcome	1590956436828	1590956436860	OK	 
REQUEST	2		Welcome	1590956436828	1590956436860	OK	 
REQUEST	2		Login	1590956446883	1590956446910	OK	 
REQUEST	1		Login	1590956446883	1590956446910	OK	 
REQUEST	2		Logged	1590956459909	1590956459932	OK	 
REQUEST	1		Logged	1590956459909	1590956459932	OK	 
REQUEST	1		Logged Redirect 1	1590956459936	1590956459966	OK	 
REQUEST	2		Logged Redirect 1	1590956459936	1590956459966	OK	 
REQUEST	2		MyMensajes	1590956478965	1590956479189	OK	 
REQUEST	1		MyMensajes	1590956478965	1590956479189	OK	 
REQUEST	2		ShowMensajeWrong	1590956517195	1590956517338	OK	 
REQUEST	1		ShowMensaje	1590956517195	1590956517356	OK	 
USER	VerMensajesTestNegativo	2	END	1590956436803	1590956531349
USER	VerMensajeTestPositivo	1	END	1590956436803	1590956558364
