ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMisLocalesTest	vermislocalestest	1590170291982	 	3.3.1
USER	VerMisLocalesNegativoTest	52	START	1590170293744	1590170293744
USER	VerMisLocalesPositivoTest	2	START	1590170293760	1590170293760
USER	VerMisLocalesPositivoTest	1	START	1590170293719	1590170293719
USER	VerMisLocalesNegativoTest	53	START	1590170293746	1590170293746
USER	VerMisLocalesNegativoTest	54	START	1590170293780	1590170293780
USER	VerMisLocalesPositivoTest	3	START	1590170293805	1590170293805
USER	VerMisLocalesNegativoTest	55	START	1590170293833	1590170293833
REQUEST	54		Welcome	1590170293782	1590170293839	OK	 
REQUEST	53		Welcome	1590170293777	1590170293838	OK	 
REQUEST	3		Welcome	1590170293806	1590170293838	OK	 
REQUEST	1		Welcome	1590170293777	1590170293838	OK	 
REQUEST	52		Welcome	1590170293777	1590170293838	OK	 
REQUEST	2		Welcome	1590170293777	1590170293838	OK	 
USER	VerMisLocalesPositivoTest	4	START	1590170293859	1590170293859
USER	VerMisLocalesNegativoTest	56	START	1590170293866	1590170293866
REQUEST	56		Welcome	1590170293867	1590170293928	OK	 
USER	VerMisLocalesPositivoTest	5	START	1590170293943	1590170293943
USER	VerMisLocalesPositivoTest	6	START	1590170293945	1590170293945
USER	VerMisLocalesNegativoTest	57	START	1590170293944	1590170293944
USER	VerMisLocalesNegativoTest	58	START	1590170293945	1590170293945
REQUEST	6		Welcome	1590170293945	1590170293956	OK	 
REQUEST	58		Welcome	1590170293948	1590170293959	OK	 
REQUEST	5		Welcome	1590170293944	1590170293959	OK	 
REQUEST	57		Welcome	1590170293946	1590170293960	OK	 
REQUEST	4		Welcome	1590170293864	1590170293961	OK	 
REQUEST	55		Welcome	1590170293838	1590170293961	OK	 
USER	VerMisLocalesPositivoTest	7	START	1590170293975	1590170293975
USER	VerMisLocalesNegativoTest	59	START	1590170293979	1590170293979
REQUEST	7		Welcome	1590170293975	1590170294000	OK	 
REQUEST	59		Welcome	1590170293981	1590170294001	OK	 
USER	VerMisLocalesPositivoTest	8	START	1590170294009	1590170294009
REQUEST	8		Welcome	1590170294011	1590170294017	OK	 
USER	VerMisLocalesNegativoTest	60	START	1590170294029	1590170294029
REQUEST	60		Welcome	1590170294030	1590170294034	OK	 
USER	VerMisLocalesPositivoTest	9	START	1590170294054	1590170294054
REQUEST	9		Welcome	1590170294054	1590170294059	OK	 
USER	VerMisLocalesNegativoTest	61	START	1590170294077	1590170294077
REQUEST	61		Welcome	1590170294078	1590170294082	OK	 
USER	VerMisLocalesPositivoTest	10	START	1590170294102	1590170294102
REQUEST	10		Welcome	1590170294103	1590170294108	OK	 
USER	VerMisLocalesNegativoTest	62	START	1590170294127	1590170294127
USER	VerMisLocalesPositivoTest	11	START	1590170294129	1590170294129
REQUEST	62		Welcome	1590170294128	1590170294134	OK	 
REQUEST	11		Welcome	1590170294130	1590170294135	OK	 
USER	VerMisLocalesNegativoTest	63	START	1590170294155	1590170294155
REQUEST	63		Welcome	1590170294155	1590170294163	OK	 
USER	VerMisLocalesPositivoTest	12	START	1590170294186	1590170294186
USER	VerMisLocalesNegativoTest	64	START	1590170294191	1590170294191
REQUEST	12		Welcome	1590170294187	1590170294196	OK	 
REQUEST	64		Welcome	1590170294192	1590170294200	OK	 
USER	VerMisLocalesPositivoTest	13	START	1590170294209	1590170294209
REQUEST	13		Welcome	1590170294210	1590170294214	OK	 
USER	VerMisLocalesNegativoTest	65	START	1590170294232	1590170294232
REQUEST	65		Welcome	1590170294233	1590170294238	OK	 
USER	VerMisLocalesPositivoTest	14	START	1590170294257	1590170294257
REQUEST	14		Welcome	1590170294259	1590170294267	OK	 
USER	VerMisLocalesNegativoTest	66	START	1590170294286	1590170294286
USER	VerMisLocalesPositivoTest	15	START	1590170294290	1590170294290
REQUEST	66		Welcome	1590170294288	1590170294301	OK	 
REQUEST	15		Welcome	1590170294293	1590170294303	OK	 
USER	VerMisLocalesNegativoTest	67	START	1590170294313	1590170294313
REQUEST	67		Welcome	1590170294315	1590170294325	OK	 
USER	VerMisLocalesNegativoTest	68	START	1590170294351	1590170294351
USER	VerMisLocalesPositivoTest	16	START	1590170294351	1590170294351
REQUEST	68		Welcome	1590170294352	1590170294360	OK	 
REQUEST	16		Welcome	1590170294355	1590170294360	OK	 
USER	VerMisLocalesPositivoTest	17	START	1590170294379	1590170294379
REQUEST	17		Welcome	1590170294380	1590170294384	OK	 
USER	VerMisLocalesNegativoTest	69	START	1590170294403	1590170294403
REQUEST	69		Welcome	1590170294405	1590170294413	OK	 
USER	VerMisLocalesPositivoTest	18	START	1590170294435	1590170294435
USER	VerMisLocalesNegativoTest	70	START	1590170294436	1590170294436
REQUEST	18		Welcome	1590170294437	1590170294449	OK	 
REQUEST	70		Welcome	1590170294438	1590170294451	OK	 
USER	VerMisLocalesPositivoTest	19	START	1590170294456	1590170294456
REQUEST	19		Welcome	1590170294458	1590170294469	OK	 
USER	VerMisLocalesNegativoTest	71	START	1590170294471	1590170294471
REQUEST	71		Welcome	1590170294473	1590170294480	OK	 
USER	VerMisLocalesPositivoTest	20	START	1590170294503	1590170294503
REQUEST	20		Welcome	1590170294504	1590170294511	OK	 
USER	VerMisLocalesNegativoTest	72	START	1590170294515	1590170294515
REQUEST	72		Welcome	1590170294516	1590170294523	OK	 
