RUN	dp2.VerMisLocalesTest	vermislocalestest	1590166755938	 	3.3.1
USER	VerMisLocalesNegativoTest	2	START	1590166757823	1590166757823
USER	VerMisLocalesPositivoTest	1	START	1590166757824	1590166757824
REQUEST	2		Welcome	1590166757868	1590166758006	OK	 
REQUEST	1		Welcome	1590166757868	1590166758006	OK	 
REQUEST	1		RightLogin	1590166767037	1590166767041	OK	 
REQUEST	2		WrongLogin	1590166767037	1590166767041	OK	 
REQUEST	1		RightLogged	1590166786064	1590166786070	OK	 
REQUEST	2		WrongLogged	1590166786064	1590166786070	OK	 
REQUEST	1		RightLogged Redirect 1	1590166786079	1590166786094	OK	 
REQUEST	2		WrongLogged Redirect 1	1590166786079	1590166786098	OK	 
REQUEST	2		Forbidden	1590166803087	1590166803112	OK	 
REQUEST	1		MyLocales	1590166803087	1590166803178	OK	 
USER	VerMisLocalesPositivoTest	1	END	1590166757824	1590166811192
USER	VerMisLocalesNegativoTest	2	END	1590166757823	1590166824125
